external_identifier_value,election_administration_id,external_identifier_type,external_identifier_othertype,name,polling_location_ids,state_id,type,other_type,id
ocd-division/country:us/state:mn/county:chippewa,ea0118,ocd-id,,Chippewa_Montevideo_118,poll0373 poll0380 poll0381,st27,,,loc0117
ocd-division/country:us/state:mn/county:chisago,ea0122,ocd-id,,Chisago_Center,poll0389 poll0382 poll0390,st27,,,loc0122
ocd-division/country:us/state:mn/county:clay,ea0123,ocd-id,,Clay_Moorhead_123,poll0399 poll0391 poll0398,st27,,,loc0124
ocd-division/country:us/state:mn/county:clearwater,ea0128,ocd-id,,Clearwater_Bagley_128,poll0408 poll0400 poll0407,st27,,,loc0126
ocd-division/country:us/state:mn/county:cook,ea0129,ocd-id,,Cook_Grand,poll0409 poll0416 poll0417,st27,,,loc0131
ocd-division/country:us/state:mn/county:cottonwood,ea0134,ocd-id,,Cottonwood,poll0418 poll0425 poll0426,st27,,,loc0133
ocd-division/country:us/state:mn/county:crow_wing,ea0135,ocd-id,,Crow,poll0434 poll0427,st27,,,loc0135
ocd-division/country:us/state:mn/county:dakota,ea0173,ocd-id,,Dakota_Farmington_156,poll0548 poll0503 poll0549 poll0575 poll0504 poll0505 poll0568 poll0521 poll0522 poll0523 poll0540 poll0541 poll0472 poll0470 poll0471 poll0566 poll0474 poll0454 poll0567 poll0452 poll0453 poll0436 poll0584 poll0514 poll0585 poll0513 poll0512 poll0550 poll0532 poll0531 poll0530 poll0559 poll0577 poll0576 poll0539 poll0557 poll0461 poll0463 poll0462 poll0445 poll0444 poll0443,st27,,,loc0139
ocd-division/country:us/state:mn/county:dodge,ea0181,ocd-id,,Dodge_Mantorville_179,poll0594 poll0586 poll0593,st27,,,loc0180
ocd-division/country:us/state:mn/county:douglas,ea0183,ocd-id,,Douglas_Alexandria_184,poll0595 poll0603 poll0602,st27,,,loc0184
ocd-division/country:us/state:mn/county:faribault,ea0185,ocd-id,,Faribault_Blue,poll0612 poll0604 poll0611,st27,,,loc0185
ocd-division/country:us/state:mn/county:fillmore,ea0189,ocd-id,,Fillmore_Preston_188,poll0621 poll0620 poll0613,st27,,,loc0188
ocd-division/country:us/state:mn/county:freeborn,ea0192,ocd-id,,Freeborn_Albert,poll0622 poll0629,st27,,,loc0192
