index,address_location_name,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
140,"10 Court Street Morristown, NJ 07963",08:30 AM-03:00 PM,,,False,True,,,,morr0140
141,"Courthouse, 118 Washington Street Toms River, NJ 08754",08:00 AM-04:30 PM,,,False,True,,,,ocea0141
142,"Courthouse, 118 Washington Street Toms River, NJ 08754",08:00 AM-04:30 PM,,,False,True,,,,ocea0142
143,"Courthouse, 118 Washington Street Toms River, NJ 08754",08:00 AM-04:30 PM,,,False,True,,,,ocea0143
144,"Courthouse, 118 Washington Street Toms River, NJ 08754",08:00 AM-04:30 PM,,,False,True,,,,ocea0144
145,"Courthouse, 118 Washington Street Toms River, NJ 08754",08:00 AM-04:30 PM,,,False,True,,,,ocea0145
146,"Courthouse, 118 Washington Street Toms River, NJ 08754",08:00 AM-04:30 PM,,,False,True,,,,ocea0146
147,"Courthouse, 118 Washington Street Toms River, NJ 08754",08:00 AM-04:30 PM,,,False,True,,,,ocea0147
148,"Courthouse, 118 Washington Street Toms River, NJ 08754",08:00 AM-03:00 PM,,,False,True,,,,ocea0148
149,"Courthouse, 118 Washington Street Toms River, NJ 08754",08:00 AM-08:00 PM,,,False,True,,,,ocea0149
150,"401 Grand Street, Room 123 Paterson, NJ 07505",08:30 AM-04:30 PM,,,False,True,,,,pass0150
151,"401 Grand Street, Room 123 Paterson, NJ 07505",08:30 AM-04:30 PM,,,False,True,,,,pass0151
152,"401 Grand Street, Room 123 Paterson, NJ 07505",08:30 AM-04:30 PM,,,False,True,,,,pass0152
153,"401 Grand Street, Room 123 Paterson, NJ 07505",08:30 AM-04:30 PM,,,False,True,,,,pass0153
154,"401 Grand Street, Room 123 Paterson, NJ 07505",08:30 AM-04:30 PM,,,False,True,,,,pass0154
155,"401 Grand Street, Room 123 Paterson, NJ 07505",08:30 AM-04:30 PM,,,False,True,,,,pass0155
156,"401 Grand Street, Room 123 Paterson, NJ 07505",08:30 AM-03:00 PM,,,False,True,,,,pass0156
157,"401 Grand Street, Room 123 Paterson, NJ 07505",08:30 AM-08:00 PM,,,False,True,,,,pass0157
158,"110 Fifth Street, Suite 200 Salem, NJ 08079",08:30 AM-04:30 PM,,,False,True,,,,sale0158
159,"110 Fifth Street, Suite 200 Salem, NJ 08079",08:30 AM-04:30 PM,,,False,True,,,,sale0159
160,"110 Fifth Street, Suite 200 Salem, NJ 08079",08:30 AM-04:30 PM,,,False,True,,,,sale0160
161,"110 Fifth Street, Suite 200 Salem, NJ 08079",08:30 AM-04:30 PM,,,False,True,,,,sale0161
162,"110 Fifth Street, Suite 200 Salem, NJ 08079",08:30 AM-04:30 PM,,,False,True,,,,sale0162
163,"110 Fifth Street, Suite 200 Salem, NJ 08079",08:30 AM-04:30 PM,,,False,True,,,,sale0163
164,"110 Fifth Street, Suite 200 Salem, NJ 08079",08:30 AM-03:00 PM,,,False,True,,,,sale0164
165,"Administration Building, 20 Grove Street Somerville, NJ 08876",08:15 AM-04:00 PM,,,False,True,,,,some0165
166,"Administration Building, 20 Grove Street Somerville, NJ 08876",08:15 AM-04:00 PM,,,False,True,,,,some0166
167,"Administration Building, 20 Grove Street Somerville, NJ 08876",08:15 AM-04:00 PM,,,False,True,,,,some0167
168,"Administration Building, 20 Grove Street Somerville, NJ 08876",08:15 AM-04:00 PM,,,False,True,,,,some0168
169,"Administration Building, 20 Grove Street Somerville, NJ 08876",08:15 AM-04:00 PM,,,False,True,,,,some0169
170,"Administration Building, 20 Grove Street Somerville, NJ 08876",08:15 AM-04:00 PM,,,False,True,,,,some0170
171,"Administration Building, 20 Grove Street Somerville, NJ 08876",08:15 AM-03:00 PM,,,False,True,,,,some0171
172,"83 Spring Street, Suite 305 Newton, NJ 07860",08:00 AM-04:00 PM,,,False,True,,,,suss0172
173,"83 Spring Street, Suite 305 Newton, NJ 07860",08:00 AM-04:00 PM,,,False,True,,,,suss0173
174,"83 Spring Street, Suite 305 Newton, NJ 07860",08:00 AM-04:00 PM,,,False,True,,,,suss0174
175,"83 Spring Street, Suite 305 Newton, NJ 07860",08:00 AM-04:00 PM,,,False,True,,,,suss0175
176,"83 Spring Street, Suite 305 Newton, NJ 07860",08:00 AM-04:00 PM,,,False,True,,,,suss0176
177,"83 Spring Street, Suite 305 Newton, NJ 07860",08:00 AM-04:00 PM,,,False,True,,,,suss0177
