ocd-division,COUNTY,Location Name,Address 1,Address 2,City,State,Zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change,
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1630,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1630,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1630,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1630,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1200,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1200,9/30/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1200,10/7/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1200,10/14/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1200,10/21/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1200,10/28/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1200,11/4/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1630,9/26/16,9/29/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1630,10/3/16,10/6/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1630,10/10/16,10/13/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1630,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1630,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1630,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Hilltop City Hall,4555 Jackson St,,Hilltop,MN,55421,800,1630,9/23/16,9/23/16,no,no,,no,
