office-name,ocd_division,directions,precinct_name,loc_name,street,city,state,zip_code,start_time,end_time,notes,index,name,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Mireles Elementary,7658 Cimarron Blvd.,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,58,Mireles Elementary,"7658 Cimarron Blvd., Corpus Christi, TX, 78414",07:00 AM-07:00 PM,,ho58127406,false,false,,,,poll97258238
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Montclair Elementary,5241 Kentner St.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,59,Montclair Elementary,"5241 Kentner St., Corpus Christi, TX, 78412",07:00 AM-07:00 PM,,ho68087353,false,false,,,,poll14245784
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Moody High School,1818 Trojan Dr.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,60,Moody High School,"1818 Trojan Dr., Corpus Christi, TX, 78416",07:00 AM-07:00 PM,,ho7509351,false,false,,,,poll24325230
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Nueces County ESD #4,5781 FM 666,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,61,Nueces County Esd #4,"5781 FM 666, ROBSTOWN, TX, 78380",07:00 AM-07:00 PM,,ho43443988,false,false,,,,poll6184271
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Oak Park Recreation Center,842 Erwin Ave.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,62,Oak Park Recreation Center,"842 Erwin Ave., Corpus Christi, TX, 78408",07:00 AM-07:00 PM,,ho60424100,false,false,,,,poll2923541
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Our Lady of Mnt. Carmel Mission,1080 S Clarkwood Rd., Corpus Christi,TX,78406,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,63,Our Lady Of Mnt. Carmel Mission,"1080 S Clarkwood Rd., Corpus Christi, TX, 78406",07:00 AM-07:00 PM,,ho83622192,false,false,,,,poll10615893
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Oveal Williams Senior Center,1414 Martin Luther King Dr., Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,64,Oveal Williams Senior Center,"1414 Martin Luther King Dr., Corpus Christi, TX, 78401",07:00 AM-07:00 PM,,ho49590171,false,false,,,,poll49363338
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Parkway Presbyterian Church,3707 Santa Fe,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,65,Parkway Presbyterian Church,"3707 Santa Fe, Corpus Christi, TX, 78411",07:00 AM-07:00 PM,,ho7282838,false,false,,,,poll94995918
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Peerless Cleaners,2806 Santa Fe,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,66,Peerless Cleaners,"2806 Santa Fe, Corpus Christi, TX, 78404",07:00 AM-07:00 PM,,ho7384383,false,false,,,,poll53966001
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Petronila Elementary,2391 Cnty Rd. 67,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,67,Petronila Elementary,"2391 Cnty Rd. 67, ROBSTOWN, TX, 78380",07:00 AM-07:00 PM,,ho37488033,false,false,,,,poll329562
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Port Aransas Community Center,408 North Alister,PORT ARANSAS,TX,78373,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,68,Port Aransas Community Center,"408 North Alister, PORT ARANSAS, TX, 78373",07:00 AM-07:00 PM,,ho23703428,false,false,,,,poll31353001
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,River Hills Baptist Church,16318 FM 624,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,69,River Hills Baptist Church,"16318 FM 624, ROBSTOWN, TX, 78380",07:00 AM-07:00 PM,,ho41513319,false,false,,,,poll40346788
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Robert Driscoll Elementary,122 W. Ave. H,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,70,Robert Driscoll Elementary,"122 W. Ave. H, ROBSTOWN, TX, 78380",07:00 AM-07:00 PM,,ho27649132,false,false,,,,poll38029425
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Ronnie H. Polston County Bldg.,10110 Compton Rd., Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,71,Ronnie H. Polston County Bldg.,"10110 Compton Rd., Corpus Christi, TX, 78418",07:00 AM-07:00 PM,,ho94314074,false,false,,,,poll284965
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Rose Shaw Elementary,2920 Soledad St., Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,72,Rose Shaw Elementary,"2920 Soledad St., Corpus Christi, TX, 78405",07:00 AM-07:00 PM,,ho86999226,false,false,,,,poll1819226
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Saint John's Baptist Church,5445 Greenwood Dr., Corpus Christi,TX,78417,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,73,Saint John'S Baptist Church,"5445 Greenwood Dr., Corpus Christi, TX, 78417",07:00 AM-07:00 PM,,ho68403024,false,false,,,,poll13250146
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,San Pedro Elementary,800 W. Ave. D,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,74,San Pedro Elementary,"800 W. Ave. D, ROBSTOWN, TX, 78380",07:00 AM-07:00 PM,,ho58967863,false,false,,,,poll64092196
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Schanen Estates Elementary,5717 Killarmet Dr., Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,75,Schanen Estates Elementary,"5717 Killarmet Dr., Corpus Christi, TX, 78413",07:00 AM-07:00 PM,,ho64378824,false,false,,,,poll98738455
