ocd_division,homepage,county,loc_name,address_one,address_two,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt_1,appt_2,appt_3,subject_to_change,notes,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Princeton Moose Lodge,1339 North Euclid Ave,,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,False,False,False,,,57,Princeton Moose Lodge,"1339 North Euclid Ave, Princeton, IL, 61356",,08:00 AM - 04:00 PM,,ho76758926,false,true,,,,poll1555226
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Princeton Moose Lodge,1339 North Euclid Ave,,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,,58,Princeton Moose Lodge,"1339 North Euclid Ave, Princeton, IL, 61356",,08:00 AM - 04:00 PM,,ho76758926,false,true,,,,poll1555226
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Princeton Moose Lodge,1339 North Euclid Ave,,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,False,False,False,,,59,Princeton Moose Lodge,"1339 North Euclid Ave, Princeton, IL, 61356",,08:00 AM - 04:00 PM,,ho76758926,false,true,,,,poll1555226
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Spring Valley City Hall,"215 North Greenwood, #2",,,Spring Valley,IL,61362,09:00:00 - 05:00,15:00:00 - 05:00,10/24/16,10/28/16,False,False,False,,,60,Spring Valley City Hall,"215 North Greenwood, #2, Spring Valley, IL, 61362",,09:00 AM - 03:00 PM,,ho32034302,false,true,,,,poll41604341
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Spring Valley City Hall,"215 North Greenwood, #2",,,Spring Valley,IL,61362,09:00:00 - 05:00,15:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,,61,Spring Valley City Hall,"215 North Greenwood, #2, Spring Valley, IL, 61362",,09:00 AM - 03:00 PM,,ho32034302,false,true,,,,poll41604341
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Spring Valley City Hall,"215 North Greenwood, #2",,,Spring Valley,IL,61362,09:00:00 - 05:00,15:00:00 - 05:00,10/31/16,11/4/16,False,False,False,,,62,Spring Valley City Hall,"215 North Greenwood, #2, Spring Valley, IL, 61362",,09:00 AM - 03:00 PM,,ho32034302,false,true,,,,poll41604341
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,,63,Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,,64,Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16,False,False,False,,,65,Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,,66,Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,,67,Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/29/16,10/29/16,False,False,False,,,68,Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,False,False,False,,,69,Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,11/5/16,11/5/16,False,False,False,,,70,Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,,71,Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
