office-name,ocd-division,directions,name,street,city,state,zip,start_time,end_time,start_date,end_date,notes
Logan County,ocd-division/country:us/state:wv/county:logan,,Logan County Courthouse,300 Stratton Street,Logan,WV,25601,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Marion County,ocd-division/country:us/state:wv/county:marion,,J. Harper Meredith Building,200 Jackson Street,Fairmont,WV,26555,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Marion County,ocd-division/country:us/state:wv/county:marion,,J. Harper Meredith Building,200 Jackson Street,Fairmont,WV,26555,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Marion County,ocd-division/country:us/state:wv/county:marion,,J. Harper Meredith Building,200 Jackson Street,Fairmont,WV,26555,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Marion County,ocd-division/country:us/state:wv/county:marion,,J. Harper Meredith Building,200 Jackson Street,Fairmont,WV,26555,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Marion County,ocd-division/country:us/state:wv/county:marion,,Mannington City Hall,206 Main Street,Mannington ,WV,26582,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Marion County,ocd-division/country:us/state:wv/county:marion,,Mannington City Hall,206 Main Street,Mannington ,WV,26582,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Marion County,ocd-division/country:us/state:wv/county:marion,,Mannington City Hall,206 Main Street,Mannington ,WV,26582,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Marion County,ocd-division/country:us/state:wv/county:marion,,Mannington City Hall,206 Main Street,Mannington ,WV,26582,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Marshall County,ocd-division/country:us/state:wv/county:marshall,,Marshall County Courthouse,600 7th Street,Moundsville,WV,26041,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/27/16,
