office-name,ocd-division,directions,precinct name,name,street,City,state,zip,start time,end time,notes
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,St. Anthony Violet Catholic Church,3918 Cnty. Rd. 61,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,T.G. Allen Elementary,1414 18th. St., Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,The People's Baptist Church,1355 FM 665, Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Tom Browne Middle School,4301 Schanen Blvd., Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Travis Elementary,3210 Churchill Dr., Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Tuloso-Midway High School,2653 McKinzie Rd., Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Tuloso-Midway Middle School,9768 La Branch St., Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Valencia Hall,6110 Ayers St., Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Veterans Memorial High School,3750 Cimarron, Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Villa of Corpus Christi â€“ South,4834 Yorktown Blvd., Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,West Oso Junior High School,5202 Bear Lane, Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Windsor Park Athena School,4525 S. Alameda St., Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Woodlawn Elementary,1110 Woodlawn Dr., Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Yeager Elementary,5414 Tripoli Dr., Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Zavala Senior Center,510 Osage St, Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
