ocd_division,county,location_name,address_1,address_2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone_num,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:beltrami,Beltrami,Beltrami County Administration Building,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601,800,1630,09-26-2016,09-30-2016,False,False,False,,235,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,08:00 AM-04:30 PM,,ho70805654,false,true,,,,poll53592787
ocd-division/country:us/state:mn/county:beltrami,Beltrami,Beltrami County Administration Building,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601,800,1630,10-03-2016,10-07-2016,False,False,False,,236,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,08:00 AM-04:30 PM,,ho70805654,false,true,,,,poll53592787
ocd-division/country:us/state:mn/county:beltrami,Beltrami,Beltrami County Administration Building,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601,800,1630,10-10-2016,10-14-2016,False,False,False,,237,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,08:00 AM-04:30 PM,,ho70805654,false,true,,,,poll53592787
ocd-division/country:us/state:mn/county:beltrami,Beltrami,Beltrami County Administration Building,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601,800,1630,10-17-2016,10-21-2016,False,False,False,,238,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,08:00 AM-04:30 PM,,ho70805654,false,true,,,,poll53592787
ocd-division/country:us/state:mn/county:beltrami,Beltrami,Beltrami County Administration Building,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601,800,1630,10-24-2016,10-28-2016,False,False,False,,239,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,08:00 AM-04:30 PM,,ho70805654,false,true,,,,poll53592787
ocd-division/country:us/state:mn/county:beltrami,Beltrami,Beltrami County Administration Building,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601,800,1630,10-31-2016,11-04-2016,False,False,False,,240,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,08:00 AM-04:30 PM,,ho70805654,false,true,,,,poll53592787
ocd-division/country:us/state:mn/county:beltrami,Beltrami,Beltrami County Administration Building,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601,1000,1500,11-05-2016,11-05-2016,False,False,False,,241,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,10:00 AM-03:00 PM,,ho70805654,false,true,,,,poll53592787
ocd-division/country:us/state:mn/county:beltrami,Beltrami,Beltrami County Administration Building,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601,800,1700,11-07-2016,11-07-2016,False,False,False,,242,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,08:00 AM-05:00 PM,,ho70805654,false,true,,,,poll53592787
ocd-division/country:us/state:mn/county:benton,Benton,Benton County Administration Building,531 Dewey St,,Foley,MN,56329,800,1630,09-23-2016,09-23-2016,False,False,False,,243,"531 Dewey St, Foley, MN 56329",,08:00 AM-04:30 PM,,ho25372659,false,true,,,,poll4518139
ocd-division/country:us/state:mn/county:benton,Benton,Benton County Administration Building,531 Dewey St,,Foley,MN,56329,800,1630,09-26-2016,09-30-2016,False,False,False,,244,"531 Dewey St, Foley, MN 56329",,08:00 AM-04:30 PM,,ho25372659,false,true,,,,poll4518139
ocd-division/country:us/state:mn/county:benton,Benton,Benton County Administration Building,531 Dewey St,,Foley,MN,56329,800,1630,10-03-2016,10-07-2016,False,False,False,,245,"531 Dewey St, Foley, MN 56329",,08:00 AM-04:30 PM,,ho25372659,false,true,,,,poll4518139
ocd-division/country:us/state:mn/county:benton,Benton,Benton County Administration Building,531 Dewey St,,Foley,MN,56329,800,1630,10-10-2016,10-14-2016,False,False,False,,246,"531 Dewey St, Foley, MN 56329",,08:00 AM-04:30 PM,,ho25372659,false,true,,,,poll4518139
ocd-division/country:us/state:mn/county:benton,Benton,Benton County Administration Building,531 Dewey St,,Foley,MN,56329,800,1630,10-17-2016,10-21-2016,False,False,False,,247,"531 Dewey St, Foley, MN 56329",,08:00 AM-04:30 PM,,ho25372659,false,true,,,,poll4518139
ocd-division/country:us/state:mn/county:benton,Benton,Benton County Administration Building,531 Dewey St,,Foley,MN,56329,800,1630,10-24-2016,10-28-2016,False,False,False,,248,"531 Dewey St, Foley, MN 56329",,08:00 AM-04:30 PM,,ho25372659,false,true,,,,poll4518139
ocd-division/country:us/state:mn/county:benton,Benton,Benton County Administration Building,531 Dewey St,,Foley,MN,56329,800,1630,10-31-2016,11-04-2016,False,False,False,,249,"531 Dewey St, Foley, MN 56329",,08:00 AM-04:30 PM,,ho25372659,false,true,,,,poll4518139
ocd-division/country:us/state:mn/county:benton,Benton,Benton County Administration Building,531 Dewey St,,Foley,MN,56329,1000,1500,11-05-2016,11-05-2016,False,False,False,,250,"531 Dewey St, Foley, MN 56329",,10:00 AM-03:00 PM,,ho25372659,false,true,,,,poll4518139
ocd-division/country:us/state:mn/county:benton,Benton,Benton County Administration Building,531 Dewey St,,Foley,MN,56329,800,1700,11-07-2016,11-07-2016,False,False,False,,251,"531 Dewey St, Foley, MN 56329",,08:00 AM-05:00 PM,,ho25372659,false,true,,,,poll4518139
ocd-division/country:us/state:mn/county:big_stone,Big Stone,Big Stone County Courthouse,20 2nd St SE,Ste 103,Ortonville,MN,56278,800,1600,09-23-2016,09-23-2016,False,False,False,,252,"20 2nd St SE Ste 103, Ortonville, MN 56278",,08:00 AM-04:00 PM,,ho29035088,false,true,,,,poll63087148
ocd-division/country:us/state:mn/county:big_stone,Big Stone,Big Stone County Courthouse,20 2nd St SE,Ste 103,Ortonville,MN,56278,800,1600,09-26-2016,09-30-2016,False,False,False,,253,"20 2nd St SE Ste 103, Ortonville, MN 56278",,08:00 AM-04:00 PM,,ho29035088,false,true,,,,poll63087148
ocd-division/country:us/state:mn/county:big_stone,Big Stone,Big Stone County Courthouse,20 2nd St SE,Ste 103,Ortonville,MN,56278,800,1600,10-03-2016,10-07-2016,False,False,False,,254,"20 2nd St SE Ste 103, Ortonville, MN 56278",,08:00 AM-04:00 PM,,ho29035088,false,true,,,,poll63087148
ocd-division/country:us/state:mn/county:big_stone,Big Stone,Big Stone County Courthouse,20 2nd St SE,Ste 103,Ortonville,MN,56278,800,1600,10-10-2016,10-14-2016,False,False,False,,255,"20 2nd St SE Ste 103, Ortonville, MN 56278",,08:00 AM-04:00 PM,,ho29035088,false,true,,,,poll63087148
ocd-division/country:us/state:mn/county:big_stone,Big Stone,Big Stone County Courthouse,20 2nd St SE,Ste 103,Ortonville,MN,56278,800,1600,10-17-2016,10-21-2016,False,False,False,,256,"20 2nd St SE Ste 103, Ortonville, MN 56278",,08:00 AM-04:00 PM,,ho29035088,false,true,,,,poll63087148
ocd-division/country:us/state:mn/county:big_stone,Big Stone,Big Stone County Courthouse,20 2nd St SE,Ste 103,Ortonville,MN,56278,800,1600,10-24-2016,10-28-2016,False,False,False,,257,"20 2nd St SE Ste 103, Ortonville, MN 56278",,08:00 AM-04:00 PM,,ho29035088,false,true,,,,poll63087148
ocd-division/country:us/state:mn/county:big_stone,Big Stone,Big Stone County Courthouse,20 2nd St SE,Ste 103,Ortonville,MN,56278,800,1600,10-31-2016,11-04-2016,False,False,False,,258,"20 2nd St SE Ste 103, Ortonville, MN 56278",,08:00 AM-04:00 PM,,ho29035088,false,true,,,,poll63087148
ocd-division/country:us/state:mn/county:big_stone,Big Stone,Big Stone County Courthouse,20 2nd St SE,Ste 103,Ortonville,MN,56278,1000,1500,11-05-2016,11-05-2016,False,False,False,,259,"20 2nd St SE Ste 103, Ortonville, MN 56278",,10:00 AM-03:00 PM,,ho29035088,false,true,,,,poll63087148
ocd-division/country:us/state:mn/county:big_stone,Big Stone,Big Stone County Courthouse,20 2nd St SE,Ste 103,Ortonville,MN,56278,800,1700,11-07-2016,11-07-2016,False,False,False,,260,"20 2nd St SE Ste 103, Ortonville, MN 56278",,08:00 AM-05:00 PM,,ho29035088,false,true,,,,poll63087148
ocd-division/country:us/state:mn/county:blue_earth,Blue Earth,Blue Earth County Government Center,410 S 5th St,,Mankato,MN,56002,800,1630,09-23-2016,09-23-2016,False,False,False,,261,"410 S 5th St, Mankato, MN 56002",,08:00 AM-04:30 PM,,ho79013503,false,true,,,,poll99698033
ocd-division/country:us/state:mn/county:blue_earth,Blue Earth,Blue Earth County Government Center,410 S 5th St,,Mankato,MN,56002,800,1630,09-26-2016,09-30-2016,False,False,False,,262,"410 S 5th St, Mankato, MN 56002",,08:00 AM-04:30 PM,,ho79013503,false,true,,,,poll99698033
ocd-division/country:us/state:mn/county:blue_earth,Blue Earth,Blue Earth County Government Center,410 S 5th St,,Mankato,MN,56002,800,1630,10-03-2016,10-07-2016,False,False,False,,263,"410 S 5th St, Mankato, MN 56002",,08:00 AM-04:30 PM,,ho79013503,false,true,,,,poll99698033
ocd-division/country:us/state:mn/county:blue_earth,Blue Earth,Blue Earth County Government Center,410 S 5th St,,Mankato,MN,56002,800,1630,10-10-2016,10-14-2016,False,False,False,,264,"410 S 5th St, Mankato, MN 56002",,08:00 AM-04:30 PM,,ho79013503,false,true,,,,poll99698033
ocd-division/country:us/state:mn/county:blue_earth,Blue Earth,Blue Earth County Government Center,410 S 5th St,,Mankato,MN,56002,800,1630,10-17-2016,10-21-2016,False,False,False,,265,"410 S 5th St, Mankato, MN 56002",,08:00 AM-04:30 PM,,ho79013503,false,true,,,,poll99698033
ocd-division/country:us/state:mn/county:blue_earth,Blue Earth,Blue Earth County Government Center,410 S 5th St,,Mankato,MN,56002,800,1630,10-24-2016,10-28-2016,False,False,False,,266,"410 S 5th St, Mankato, MN 56002",,08:00 AM-04:30 PM,,ho79013503,false,true,,,,poll99698033
ocd-division/country:us/state:mn/county:blue_earth,Blue Earth,Blue Earth County Government Center,410 S 5th St,,Mankato,MN,56002,800,1630,10-31-2016,11-04-2016,False,False,False,,267,"410 S 5th St, Mankato, MN 56002",,08:00 AM-04:30 PM,,ho79013503,false,true,,,,poll99698033
ocd-division/country:us/state:mn/county:blue_earth,Blue Earth,Blue Earth County Government Center,410 S 5th St,,Mankato,MN,56002,1000,1500,11-05-2016,11-05-2016,False,False,False,,268,"410 S 5th St, Mankato, MN 56002",,10:00 AM-03:00 PM,,ho79013503,false,true,,,,poll99698033
