office,name,adr_1,adr_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt,ocd-id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,10/26/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32,386,"5510 Graham Rd, Port Graham, AK 99603",,09:00 AM - 01:00 PM,,ho62234679,false,true,,,,poll62234679
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,10/31/16,10/31/16,,ocd-division/country:us/state:ak/sldl:32,387,"5510 Graham Rd, Port Graham, AK 99603",,09:00 AM - 01:00 PM,,ho62234679,false,true,,,,poll62234679
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,11/2/16,11/2/16,,ocd-division/country:us/state:ak/sldl:32,388,"5510 Graham Rd, Port Graham, AK 99603",,09:00 AM - 01:00 PM,,ho62234679,false,true,,,,poll62234679
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,11/4/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32,389,"5510 Graham Rd, Port Graham, AK 99603",,09:00 AM - 01:00 PM,,ho62234679,false,true,,,,poll62234679
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32,390,"5510 Graham Rd, Port Graham, AK 99603",,09:00 AM - 01:00 PM,,ho62234679,false,true,,,,poll62234679
Huslia City ,Huslia City Councilë_,58 Dakli St,,,Huslia,AK,99746,08:00:00 - 08:00,16:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39,391,"58 Dakli St, Huslia, AK 99746",,08:00 AM - 04:00 PM,,ho34683422,false,true,,,,poll34683422
Huslia City ,Huslia City Councilë_,58 Dakli St,,,Huslia,AK,99746,08:00:00 - 08:00,16:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39,392,"58 Dakli St, Huslia, AK 99746",,08:00 AM - 04:00 PM,,ho34683422,false,true,,,,poll34683422
Huslia City ,Huslia City Councilë_,58 Dakli St,,,Huslia,AK,99746,08:00:00 - 08:00,16:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39,393,"58 Dakli St, Huslia, AK 99746",,08:00 AM - 04:00 PM,,ho34683422,false,true,,,,poll34683422
Pilot Point,PILOT POINT CITY HALL,600 Airplane Lake Rd,Box 430,,Pilot Point,AK,99649,09:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,394,"600 Airplane Lake Rd, Pilot Point, AK 99649",Box 430,09:00 AM - 05:00 PM,,ho81389555,false,true,,,,poll81389555
Pilot Point,PILOT POINT CITY HALL,600 Airplane Lake Rd,Box 430,,Pilot Point,AK,99649,09:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,395,"600 Airplane Lake Rd, Pilot Point, AK 99649",Box 430,09:00 AM - 05:00 PM,,ho81389555,false,true,,,,poll81389555
Pilot Point,PILOT POINT CITY HALL,600 Airplane Lake Rd,Box 430,,Pilot Point,AK,99649,09:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,396,"600 Airplane Lake Rd, Pilot Point, AK 99649",Box 430,09:00 AM - 05:00 PM,,ho81389555,false,true,,,,poll81389555
St. Mary's,ST. MARY'S CITY CLERK'S OFFICE,632 W 6th Avenue ,Suite 250,,Anchorage,AK,99501,09:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39,397,"632 W 6Th Avenue, Anchorage, AK 99501",Suite 250,09:00 AM - 05:00 PM,,ho63555041,false,true,,,,poll63555041
St. Mary's,ST. MARY'S CITY CLERK'S OFFICE,632 W 6th Avenue ,Suite 250,,Anchorage,AK,99501,09:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39,398,"632 W 6Th Avenue, Anchorage, AK 99501",Suite 250,09:00 AM - 05:00 PM,,ho63555041,false,true,,,,poll63555041
St. Mary's,ST. MARY'S CITY CLERK'S OFFICE,632 W 6th Avenue ,Suite 250,,Anchorage,AK,99501,09:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39,399,"632 W 6Th Avenue, Anchorage, AK 99501",Suite 250,09:00 AM - 05:00 PM,,ho63555041,false,true,,,,poll63555041
Fairbanks City,Region III Elections Office,675 7th Avenue, Suite H3,,Fairbanks,AK,99701-4542,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak,400,"675 7Th Avenue, Fairbanks, AK 99701",Suite H3,08:00 AM - 05:00 PM,,ho50459041,false,true,,,,poll50459041
Fairbanks City,Region III Elections Office,675 7th Avenue, Suite H3,,Fairbanks,AK,99701-4542,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak,401,"675 7Th Avenue, Fairbanks, AK 99701",Suite H3,08:00 AM - 05:00 PM,,ho50459041,false,true,,,,poll50459041
Fairbanks City,Region III Elections Office,675 7th Avenue, Suite H3,,Fairbanks,AK,99701-4542,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak,402,"675 7Th Avenue, Fairbanks, AK 99701",Suite H3,08:00 AM - 05:00 PM,,ho50459041,false,true,,,,poll50459041
Fairbanks City,Region III Elections Office,675 7th Avenue, Suite H3,,Fairbanks,AK,99701-4542,10:00:00 - 08:00,16:00:00 - 08:00,11/5/16,11/5/16,,ocd-division/country:us/state:ak,403,"675 7Th Avenue, Fairbanks, AK 99701",Suite H3,10:00 AM - 04:00 PM,,ho50459041,false,true,,,,poll50459041
Fairbanks City,Region III Elections Office,675 7th Avenue, Suite H3,,Fairbanks,AK,99701-4542,12:00:00 - 08:00,16:00:00 - 08:00,11/6/16,11/6/16,,ocd-division/country:us/state:ak,404,"675 7Th Avenue, Fairbanks, AK 99701",Suite H3,12:00 PM - 04:00 PM,,ho50459041,false,true,,,,poll50459041
