index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
486,"110 S Park Street, Brenham, TX 77833",,08:00 AM-05:00 PM,,ho76670091,false,true,,,,poll94035613
490,"Wheeler County Clerk's Office 401 Main st., Wheeler, TX 79096",,08:00 AM-05:00 PM,,ho724774,false,true,,,,poll74257669
494,"Shamrock City Hall 116 W 2nd St, Shamrock, TX 79079",,08:00 AM-12:00 PM,,ho80483350,false,true,,,,poll20642039
498,"Wilbarger Auditorium, 2100 Yamparika Street, Vernon, TX 76384",,08:00 AM-05:00 PM,,ho82944295,false,true,,,,poll73854927
500,"301 SE Inner Loop, Ste 104, Georgetown, TX 78626",,07:00 AM-07:00 PM,,ho9095737,false,true,,,,poll31273010
503,"603 Lakeway Dr, Georgetown, TX 78638",,07:00 AM-07:00 PM,,ho32989287,false,true,,,,poll9307283
506,"Parks & Recreation Administration Building, 1101 N. College Street, Georgetown, TX 78626",,07:00 AM-07:00 PM,,ho73330636,false,true,,,,poll86178145
509,"Cowan Creek Amenity Center, 1433 Cool Spring Way, Georgetown, TX 78633",,07:00 AM-07:00 PM,,ho31050217,false,true,,,,poll15528645
512,"Baca Senior Center, 301 W. Bagdad Street, Building 2, Round Rock, TX 78664",,07:00 AM-07:00 PM,,ho63289614,false,true,,,,poll9578575
515,"Round Rock Randalls, 2051 Gattis School Road, Round Rock, TX 78664",,07:00 AM-07:00 PM,,ho53603430,false,true,,,,poll57324683
518,"Brushy Creek Community Center, 16318 Great Oaks Drive, Round Rock, TX 78681",,07:00 AM-07:00 PM,,ho7930822,false,true,,,,poll32788910
521,"J.B. and Hallie Jester Annex, 1801 E. Old Settlers Boulevard, Round Rock, TX 78664",,07:00 AM-07:00 PM,,ho64748734,false,true,,,,poll38207745
524,"Anderson Mill Limited District, 11500 El Salido Parkway, Austin, TX 78750",,07:00 AM-07:00 PM,,ho25042381,false,true,,,,poll48898341
527,"McNeil High School Performing Arts Center, 5800 McNeil Drive, Austin, TX 78729",,07:00 AM-07:00 PM,,ho29331604,false,true,,,,poll34322769
530,"Cedar Park Public Library, 550 Discovery Boulevard, Cedar Park, TX 78613",,07:00 AM-07:00 PM,,ho34839054,false,true,,,,poll85361084
533,"Cedar Park Randalls, 1400 Cypress Creek Road, Cedar Park, TX 78613",,07:00 AM-07:00 PM,,ho56006765,false,true,,,,poll32485635
536,"Pat Bryson Municipal Hall, 201 N. Brushy Street, Leander, TX 78641",,07:00 AM-07:00 PM,,ho37192786,false,true,,,,poll14687923
539,"Hutto ISD Administration Building, 200 College Street, Hutto, TX 78634",,07:00 AM-07:00 PM,,ho2106176,false,true,,,,poll85560899
542,"Taylor City Hall, 400 Porter Street, Taylor, TX 76574",,07:00 AM-07:00 PM,,ho73528265,false,true,,,,poll2133398
545,"100 East Third, Suite 108, Sweetwater, TX 79556",,08:30 AM-05:00 PM,,ho21378812,false,true,,,,poll1594533
547,"Avenue G and Cowboy Way, Plains , TX 79355",,08:00 AM-05:00 PM,,ho81865792,false,true,,,,poll46060296
549,"Denver City Branch Tax, 112 West 4th St, Denver City, TX 79323",,08:00 AM-05:00 PM,,ho92900223,false,true,,,,poll6556773
551,"North Central Texas College 928 Cherry St., Graham, TX 76450",,08:00 AM-05:00 PM,,ho68296268,false,true,,,,poll2131873
555,"Olney Community Library 807 W. Hamilton St., Olney, TX 76374",,08:00 AM-05:00 PM,,ho49287401,false,true,,,,poll76256504
557,"200 E. Uvalde St., Ste 7, Crystal City, TX 78839",,08:00 AM-12:00 PM,,ho49950083,false,true,,,,poll69553835
562,"101 West Central, #103, Comanche, TX 76442",,07:00 AM-07:00 PM,,ho77333942,false,true,,,,poll82476360
566,"DeLeon City Hall, 125 S Texas St., De Leon, TX 76444",,09:00 AM-05:00 PM,,ho27406359,false,true,,,,poll82062795
572,"914 North Main, Ste 115, Jourdanton, TX 78026",,08:00 AM-05:00 PM,,ho92667948,false,true,,,,poll10911764
577,"101 S. Washington, Seymour, TX 76380",,08:30 AM-05:00 PM,,ho93332792,false,true,,,,poll56034125
579,"550 East 2nd Avenue, Belton, TX 76513",,08:00 AM-05:00 PM,,ho49381087,false,true,,,,poll87516012
583,"Bell County Annex, 301 Priest Drive, Killeen, TX 76541",,08:00 AM-05:00 PM,,ho81043294,false,true,,,,poll25450382
587,"2201 E. Veterans Memorial Blvd, Temple, TX 76501",,08:00 AM-05:00 PM,,ho70261934,false,true,,,,poll28581524
591,"205 East Central Ave, Salado, TX 76501",,08:00 AM-05:00 PM,,ho79668111,false,true,,,,poll23132732
595,"601 North Main, Harker Heights, TX 76559",,08:00 AM-05:00 PM,,ho53643498,false,true,,,,poll33588986
599,"307 Millers Crossing, Harker Heights, TX 76548",,08:00 AM-05:00 PM,,ho60337725,false,true,,,,poll90553799
603,"511 East Adams, Brownwood, TX 76801",,08:00 AM-05:00 PM,,ho37765534,false,true,,,,poll85922806
607,"414 Denver Ave # 201, Dalhart, TX 79022",,08:30 AM-05:00 PM,,ho65433950,false,true,,,,poll47879663
609,"900 Main St, Channing, TX 79018",,08:00 AM-12:00 PM,,ho59048985,false,true,,,,poll45097034
614,"701 Texas Blvd, Dalhart , TX 79022",,08:00 AM-12:00 PM,,ho930358,false,true,,,,poll20306479
618,"109 W Millican St, Sierra Blanca, TX 79851",,07:00 AM-07:00 PM,,ho6744006,false,true,,,,poll57833602
620,"501 S. Ann Street, Brackettville, TX 78832",,08:00 AM-12:00 PM,,ho88067127,false,true,,,,poll30579885
624,"100 W Cedar St, Benjamin, TX 79505",,08:30 AM-04:30 PM,,ho33169156,false,true,,,,poll93197370
626,"112 E Walnut, Archer City, TX 76351",,08:00 AM-05:00 PM,,ho17120022,false,true,,,,poll46189450
628,"47 Donna St, Wichita Falls, TX 76308",,08:00 AM-05:00 PM,,ho2916983,false,true,,,,poll26811224
630,"Holiday City Hall, 110 W Olive St, Holiday City, TX 76366",,08:00 AM-05:00 PM,,ho11464986,false,true,,,,poll67525055
632,"100 Trice Street, Claude, TX 79019",,07:30 AM-06:00 PM,,ho46205491,false,true,,,,poll95060156
636,"804 E. Wendt St., Bellville, TX 77418-2840",,08:00 AM-04:30 PM,,ho65299533,false,true,,,,poll83950825
643,"Hill Center 1000 Main St, Healy, TX 77474",,06:00 PM-08:00 PM,,ho74121767,false,true,,,,poll84510513
644,"105 W. Corpus Christi St. Room #108, Beeville, TX 78102",,08:00 AM-05:00 PM,,ho8966677,false,true,,,,poll44754431
646,"203 N 7th St, Alpine, TX 79830",,08:30 AM-05:00 PM,,ho33049472,false,true,,,,poll38582008
652,"211 S. Ann St., Port Lavaca, TX 77979",,08:00 AM-05:00 PM,,ho22521278,false,true,,,,poll96895198
663,"126 Church Street, Room 102, Pittsburg, TX 75686",,08:00 AM-05:00 PM,,ho77607786,false,true,,,,poll68848974
665,"100 East Bedford Room 101, Dimmitt, TX 79027",,08:00 AM-05:00 PM,,ho35505855,false,true,,,,poll9089384
667,"1100 7th St NW, Childress, TX 79201",,08:00 AM-04:30 PM,,ho14353835,false,true,,,,poll46562188
669,"100 N. Main St, Courthouse Room 201, Morton, TX 79346",,08:00 AM-05:00 PM,,ho93864574,false,true,,,,poll97153018
671,"13 E. 7th Street, Robert Lee, TX 76945",,08:00 AM-05:00 PM,,ho83384493,false,true,,,,poll43279645
675,"907 Ave D, Ozona, TX 76943",,08:00 AM-05:00 PM,,ho76101926,false,true,,,,poll42341748
677,"201 West Aspen, Ste 102, Crosbyton, TX 79322",,08:00 AM-05:00 PM,,ho57930900,false,true,,,,poll20297706
679,"2377 North Stemmons Frwy, Ste 820, Dallas, TX 75207",,08:00 AM-05:00 PM,,ho16840120,false,true,,,,poll25303101
683,"235 E. 3rd st, Room 203, Hereford, TX 79045-5542",,08:00 AM-05:00 PM,,ho78595316,false,true,,,,poll68181454
685,"200 W. Dallas Ave, Cooper, TX 75432",,08:00 AM-05:00 PM,,ho81221982,false,true,,,,poll19811042
687,"701 Kimberly Drive, Ste A101, Denton, TX 76208",,08:00 AM-05:00 PM,,ho64964859,false,true,,,,poll10487634
691,"1400 FM 424, Cross Roads, TX 76227",,08:00 AM-05:00 PM,,ho70329491,false,true,,,,poll23600865
695,"415 N. College, Justin, TX 76247",,08:00 AM-05:00 PM,,ho80392715,false,true,,,,poll64364237
699,"212 Main Street, Lake Dallas, TX 75065",,08:00 AM-05:00 PM,,ho44514604,false,true,,,,poll26316412
703,"4150 Kirkpatrick, Flower Mound, TX 75028",,08:00 AM-05:00 PM,,ho90022022,false,true,,,,poll13736168
707,"330 W Stonebrook Pkwy., Frisco, TX 75034",,08:00 AM-05:00 PM,,ho66360749,false,true,,,,poll198205
711,"320 Waketon, Double Oak, TX 75077",,08:00 AM-05:00 PM,,ho72829302,false,true,,,,poll72055117
715,"3300 Corinth Pkwy., Corinth, TX 76208",,08:00 AM-05:00 PM,,ho7744063,false,true,,,,poll73118366
719,"100 W Eldorado Pkwy, Little Elm, TX 75068",,08:00 AM-05:00 PM,,ho44459717,false,true,,,,poll50888020
723,"4485 Cotton Gin, Frisco, TX 75034",,08:00 AM-05:00 PM,,ho83558124,false,true,,,,poll10678423
727,"801 North Texas Blvd., Denton, TX 76201",,08:00 AM-05:00 PM,,ho94068417,false,true,,,,poll12201099
731,"1197 W. Main Street, Lewisville, TX 75067",,08:00 AM-05:00 PM,,ho77671222,false,true,,,,poll49961053
735,"4220 N. Josey, Carrollton, TX 75010",,08:00 AM-05:00 PM,,ho40685181,false,true,,,,poll37293880
739,"18505 Midway Rd, Dallas, TX 75287",,08:00 AM-05:00 PM,,ho72484846,false,true,,,,poll22899484
743,"1000 Highland Village Rd., Highland Village, TX 75077",,08:00 AM-05:00 PM,,ho97187628,false,true,,,,poll76086954
747,"308 Denton St., Argyle, TX 76226",,08:00 AM-05:00 PM,,ho97228643,false,true,,,,poll18411762
751,"310 S Washington St., Pilot Point, TX 76258",,08:00 AM-05:00 PM,,ho68497342,false,true,,,,poll42880479
755,"6804 Main St., The Colony, TX 75056",,08:00 AM-05:00 PM,,ho86223544,false,true,,,,poll49392288
759,"1200 Bobcat Blvd., Krum, TX 76249",,08:00 AM-05:00 PM,,ho51134373,false,true,,,,poll71852868
763,"108 S Oak St., Roanoke, TX 76262",,08:00 AM-05:00 PM,,ho58798271,false,true,,,,poll18691201
767,"321 E McKinney, Denton, TX 76201",,08:00 AM-05:00 PM,,ho72194042,false,true,,,,poll26585518
