name,loc_name,adr_1,adr_2,adr_3,city,state,zip,county,dirs,services,start_date,end_date,start_time,end_time,day_times,st_id,comments,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"""Santa Fe County Clerk's Office""",Quemado Community Center,27 lopez Street,,,Quemado,NM,87829,Catron,,Early Voting,10/24/16,10/26/16,08:00:00-07:00,16:30:00-7:00,October 24 - October 26 Mon - Wed 8:00 AM - 4:30 PM,,,310,"27 lopez Street, Quemado, NM 87829",,08:00 AM - 04:30 PM,,ho91975651,false,true,,,,poll91975651
"""Hagerman Joy Center""",Catron County Courthouse,101 Main St,,,Reserve,NM,87830,Catron,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/14/16,08:00:00-07:00,16:30:00-7:00,"October 11 - November 5 Mon - Fri 8:00 AM - 4:30 PM, Sat 10 AM - 6 PM ",,,311,"101 Main St, Reserve, NM 87830",,08:00 AM - 04:30 PM,,ho17955328,false,true,,,,poll17955328
"""Hagerman Joy Center""",Catron County Courthouse,102 Main St,,,Reserve,NM,87830,Catron,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/15/16,10/15/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8:00 AM - 4:30 PM, Sat 10 AM - 6 PM ",,,312,"102 Main St, Reserve, NM 87830",,10:00 AM - 06:00 PM,,ho24732255,false,true,,,,poll24732255
"""Hagerman Joy Center""",Catron County Courthouse,103 Main St,,,Reserve,NM,87830,Catron,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/17/16,10/21/16,08:00:00-07:00,16:30:00-7:00,"October 11 - November 5 Mon - Fri 8:00 AM - 4:30 PM, Sat 10 AM - 6 PM ",,,313,"103 Main St, Reserve, NM 87830",,08:00 AM - 04:30 PM,,ho53741294,false,true,,,,poll53741294
"""Hagerman Joy Center""",Catron County Courthouse,104 Main St,,,Reserve,NM,87830,Catron,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8:00 AM - 4:30 PM, Sat 10 AM - 6 PM ",,,314,"104 Main St, Reserve, NM 87830",,10:00 AM - 06:00 PM,,ho7651771,false,true,,,,poll7651771
"""Hagerman Joy Center""",Catron County Courthouse,105 Main St,,,Reserve,NM,87830,Catron,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 26,10/24/16,10/28/16,08:00:00-07:00,16:30:00-7:00,"October 11 - November 5 Mon - Fri 8:00 AM - 4:30 PM, Sat 10 AM - 6 PM ",,,315,"105 Main St, Reserve, NM 87830",,08:00 AM - 04:30 PM,,ho63590724,false,true,,,,poll63590724
"""Hagerman Joy Center""",Catron County Courthouse,106 Main St,,,Reserve,NM,87830,Catron,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 27,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8:00 AM - 4:30 PM, Sat 10 AM - 6 PM ",,,316,"106 Main St, Reserve, NM 87830",,10:00 AM - 06:00 PM,,ho91122996,false,true,,,,poll91122996
"""Hagerman Joy Center""",Catron County Courthouse,107 Main St,,,Reserve,NM,87830,Catron,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 28,10/31/16,11/4/16,08:00:00-07:00,16:30:00-7:00,"October 11 - November 5 Mon - Fri 8:00 AM - 4:30 PM, Sat 10 AM - 6 PM ",,,317,"107 Main St, Reserve, NM 87830",,08:00 AM - 04:30 PM,,ho8588794,false,true,,,,poll8588794
"""Hagerman Joy Center""",Catron County Courthouse,108 Main St,,,Reserve,NM,87830,Catron,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 29,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8:00 AM - 4:30 PM, Sat 10 AM - 6 PM ",,,318,"108 Main St, Reserve, NM 87830",,10:00 AM - 06:00 PM,,ho46887443,false,true,,,,poll46887443
"""Quemado Community Center""",Sierra County Clerk's Office,100 N. Date St.,,,T or C,NM,87901,Sierra,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/14/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,319,"100 N. Date St., T or C, NM 87901",,08:00 AM - 05:00 PM,,ho70992321,false,true,,,,poll70992321
"""Quemado Community Center""",Sierra County Clerk's Office,101 N. Date St.,,,T or C,NM,87901,Sierra,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/15/16,10/15/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,320,"101 N. Date St., T or C, NM 87901",,10:00 AM - 06:00 PM,,ho69681923,false,true,,,,poll69681923
"""Quemado Community Center""",Sierra County Clerk's Office,102 N. Date St.,,,T or C,NM,87901,Sierra,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/17/16,10/21/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,321,"102 N. Date St., T or C, NM 87901",,08:00 AM - 05:00 PM,,ho93281999,false,true,,,,poll93281999
"""Quemado Community Center""",Sierra County Clerk's Office,103 N. Date St.,,,T or C,NM,87901,Sierra,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,322,"103 N. Date St., T or C, NM 87901",,10:00 AM - 06:00 PM,,ho29778042,false,true,,,,poll29778042
"""Quemado Community Center""",Sierra County Clerk's Office,104 N. Date St.,,,T or C,NM,87901,Sierra,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 26,10/24/16,10/28/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,323,"104 N. Date St., T or C, NM 87901",,08:00 AM - 05:00 PM,,ho73744818,false,true,,,,poll73744818
"""Quemado Community Center""",Sierra County Clerk's Office,105 N. Date St.,,,T or C,NM,87901,Sierra,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 27,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,324,"105 N. Date St., T or C, NM 87901",,10:00 AM - 06:00 PM,,ho82138787,false,true,,,,poll82138787
"""Quemado Community Center""",Sierra County Clerk's Office,106 N. Date St.,,,T or C,NM,87901,Sierra,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 28,10/31/16,11/4/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,325,"106 N. Date St., T or C, NM 87901",,08:00 AM - 05:00 PM,,ho11817322,false,true,,,,poll11817322
"""Quemado Community Center""",Sierra County Clerk's Office,107 N. Date St.,,,T or C,NM,87901,Sierra,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 29,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,326,"107 N. Date St., T or C, NM 87901",,10:00 AM - 06:00 PM,,ho78259351,false,true,,,,poll78259351
"""Rio Rancho City Hall""",DACC Hatch Learning Center,219 E Hill St,,,Hatch,NM,87937,Doa Ana,,Early Voting,10/22/16,10/22/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,327,"219 E Hill St, Hatch, NM 87937",,11:00 AM - 07:00 PM,,ho74718193,false,true,,,,poll74718193
"""Rio Rancho City Hall""",DACC Hatch Learning Center,220 E Hill St,,,Hatch,NM,87937,Doa Ana,,Early Voting,10/25/16,10/29/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,328,"220 E Hill St, Hatch, NM 87937",,11:00 AM - 07:00 PM,,ho59969160,false,true,,,,poll59969160
"""Rio Rancho City Hall""",DACC Hatch Learning Center,221 E Hill St,,,Hatch,NM,87937,Doa Ana,,Early Voting,11/1/16,11/5/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,329,"221 E Hill St, Hatch, NM 87937",,11:00 AM - 07:00 PM,,ho74452955,false,true,,,,poll74452955
"""Esther Bone Memorial Library""",Thomas Branigan Memorial Library,200 E Picacho Ave,,,Las Cruces,NM,88001,Doa Ana,,Early Voting,10/22/16,10/22/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,330,"200 E Picacho Ave, Las Cruces, NM 88001",,11:00 AM - 07:00 PM,,ho61784048,false,true,,,,poll61784048
"""Esther Bone Memorial Library""",Thomas Branigan Memorial Library,201 E Picacho Ave,,,Las Cruces,NM,88001,Doa Ana,,Early Voting,10/25/16,10/29/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,331,"201 E Picacho Ave, Las Cruces, NM 88001",,11:00 AM - 07:00 PM,,ho73841966,false,true,,,,poll73841966
"""Esther Bone Memorial Library""",Thomas Branigan Memorial Library,202 E Picacho Ave,,,Las Cruces,NM,88001,Doa Ana,,Early Voting,11/1/16,11/5/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,332,"202 E Picacho Ave, Las Cruces, NM 88001",,11:00 AM - 07:00 PM,,ho19798976,false,true,,,,poll19798976
"""Bernalillo County Visitor and Cultural Center""",Dona Ana County Government Center,845 N Motel Blvd.,,,Las Cruces,NM,88007,Doa Ana,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/14/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,333,"845 N Motel Blvd., Las Cruces, NM 88007",,08:00 AM - 05:00 PM,,ho50244425,false,true,,,,poll50244425
"""Bernalillo County Visitor and Cultural Center""",Dona Ana County Government Center,846 N Motel Blvd.,,,Las Cruces,NM,88007,Doa Ana,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/15/16,10/15/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,334,"846 N Motel Blvd., Las Cruces, NM 88007",,10:00 AM - 06:00 PM,,ho60982947,false,true,,,,poll60982947
"""Bernalillo County Visitor and Cultural Center""",Dona Ana County Government Center,847 N Motel Blvd.,,,Las Cruces,NM,88007,Doa Ana,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/17/16,10/21/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,335,"847 N Motel Blvd., Las Cruces, NM 88007",,08:00 AM - 05:00 PM,,ho27143816,false,true,,,,poll27143816
"""Bernalillo County Visitor and Cultural Center""",Dona Ana County Government Center,848 N Motel Blvd.,,,Las Cruces,NM,88007,Doa Ana,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,336,"848 N Motel Blvd., Las Cruces, NM 88007",,10:00 AM - 06:00 PM,,ho41202574,false,true,,,,poll41202574
"""Bernalillo County Visitor and Cultural Center""",Dona Ana County Government Center,849 N Motel Blvd.,,,Las Cruces,NM,88007,Doa Ana,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 26,10/24/16,10/28/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,337,"849 N Motel Blvd., Las Cruces, NM 88007",,08:00 AM - 05:00 PM,,ho42591330,false,true,,,,poll42591330
