County,Precinct Name,Precinct Number,Total Number of Registered Voters as of 05/10/2016,HD,SD,Polling Place Location,Polling Place Address,Polling Place City,Polling Place Zip,Polling Place Hours,Late Registration Location (if different or in addition to county election office)                               *Election Day Registration location only  **Other,Late Registration Address                           (if different or in addition to county election office)
Custer,JEFFERSON SCH,4-38,1502,38,19,JEFFERSON SCHOOL GYM,106 N STREVELL,MILES CITY,59301,7:00 am - 8:00 pm,,
Custer,SHEFFIELD MOON,8-39,342,39,20,WASHINGTON SCHOOL GYM B,210 N 9TH STREET,MILES CITY,59301,* Noon - 8:00 pm,,
Custer,S-H SCHOOL,9-39,106,39,20,S-H SCHOOL,6281 MOON CREEK ROAD,MILES CITY,59301,* Noon - 8:00 pm,,
Custer,SY SCHOOL,10-39,36,39,20,S-Y SCH,1 ASH CREEK ROAD 664,MILES CITY,59301,* Noon - 8:00 pm,,
Custer,KNOWLTON SCH,13-37,57,37,19,KNOWLTON  SCHOOL,1533 HORSE CREEK ROAD 403,ISMAY,59336,* Noon - 8:00 pm,,
Custer,ISMAY CHURCH,14-37,33,37,19,ISMAY COMMUNITY CHURCH,ISMAY,ISMAY,59336,* Noon - 8:00 pm,,
Daniels,PRECINCT #2,PREC_02,156,34,17,THE BARN,,FLAXVILLE,59222,* Noon - 8:00 pm,,
Daniels,PRECINCT #3,PREC_03,341,34,17,SCOBEY HIGH SCHOOL,205 2ND AVE E,SCOBEY,59263,7:00 am - 8:00 pm,,
Daniels,PRECINCT #5,PREC_05,333,34,17,SENIOR CITIZENS CENTER,201 MAIN STREET,SCOBEY,59263,7:00 am - 8:00 pm,,
Daniels,PRECINCT #6,PREC_06,298,34,17,COUNTY LIBRARY,203 TIMMONS ST.,SCOBEY,59263,7:00 am - 8:00 pm,,
Dawson,PRECINCT 01,PREC_1,530,36,18,11-EPEC CENTER,313 S MERRILL AVE,GLENDIVE,59330,7:00 am - 8:00 pm,,
Dawson,PRECINCT 02,PREC_2,693,36,18,11-EPEC CENTER,313 S MERRILL AVE,GLENDIVE,59330,7:00 am - 8:00 pm,,
Dawson,PRECINCT 03,PREC_3,1001,36,18,11-EPEC CENTER,313 S MERRILL AVE,GLENDIVE,59330,7:00 am - 8:00 pm,,
Dawson,PRECINCT 04,PREC_4,599,36,18,11-EPEC CENTER,313 S MERRILL AVE,GLENDIVE,59330,7:00 am - 8:00 pm,,
Dawson,PRECINCT 05,PREC_5,331,36,18,RICHEY SENIOR CITIZEN CENTER - 5,223 S MAIN ST,RICHEY,59259,* Noon - 8:00 pm,,
Dawson,PRECINCT 06,PREC_6,1039,36,18,11-EPEC CENTER,313 S MERRILL AVE,GLENDIVE,59330,7:00 am - 8:00 pm,,
Dawson,PRECINCT 07,PREC_7,1328,36,18,11-EPEC CENTER,313 S MERRILL AVE,GLENDIVE,59330,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 1-77E,PC_177E,552,77,39,AHS TECHNOLOGY CENTER,1410 W PARK AVE,ANACONDA,59711,7:00 am - 8:00 pm,*AHS Technology Center, Room 11
Deer Lodge,PRECINCT 1-77W,PC_177W,621,77,39,AHS TECHNOLOGY CENTER,1410 W PARK AVE,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 1-78,PC_178,100,78,39,AHS TECHNOLOGY CENTER,1410 W PARK AVE,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 2-77E,PC_277E,390,77,39,FRED MOODRY MIDDLE SCHOOL 4,219 EAST THIRD,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 2-77W,PC_277W,398,78,39,FRED MOODRY MIDDLE SCHOOL 4,219 EAST THIRD,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 2-78,PC_278,96,78,39,FRED MOODRY MIDDLE SCHOOL 4,219 EAST THIRD,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 3-77E,PC_377E,407,77,39,FRED MOODRY MIDDLE SCHOOL 4,219 EAST THIRD,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 3-77W,PC_377W,381,77,39,FRED MOODRY MIDDLE SCHOOL 4,219 EAST THIRD,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 3-78,PC_378,118,78,39,FRED MOODRY MIDDLE SCHOOL 4,219 EAST THIRD,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 4-77,PC_477,107,77,39,OPPORTUNITY COMMUNITY CLUB,STEWART & HAUSER,OPPORTUNITY,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 4-78E,PC_478E,331,78,39,OPPORTUNITY COMMUNITY CLUB,STEWART & HAUSER,OPPORTUNITY,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 4-78W,PC_478W,331,78,39,OPPORTUNITY COMMUNITY CLUB,STEWART & HAUSER,OPPORTUNITY,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 5-77N,PC_577N,673,77,39,AHS TECHNOLOGY CENTER,1410 W PARK AVE,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 5-77S,PC_577S,525,77,39,AHS TECHNOLOGY CENTER,1410 W PARK AVE,ANACONDA,59711,7:00 am - 8:00 pm,,
Fallon,PRECINCT 1,PREC_1,566,37,19,PCT'S 1,2, 3  AT EXHIBIT HALL,3440 HIGHWAY 7,BAKER,59313,7:00 am - 8:00 pm
Fallon,PRECINCT 2,PREC_2,497,37,19,PCT'S 1,2, 3  AT EXHIBIT HALL,3440 HIGHWAY 7,BAKER,59313,7:00 am - 8:00 pm
Fallon,PRECINCT 3,PREC_3,515,37,19,PCT'S 1,2, 3  AT EXHIBIT HALL,3440 HIGHWAY 7,BAKER,59313,7:00 am - 8:00 pm
Fallon,PRECINCT 4,PREC_4,294,37,19,PREC 4 PLEVNA FIRE HALL,105 CALLIN AVENUE WEST,PLEVNA,59344,* Noon - 8:00 pm,,
Fergus,PREC 10,PREC_10,429,29,15,TRADE CENTER #10,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 11,PREC_11,557,29,15,TRADE CENTER #11,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 12,PREC_12,113,30,15,TRADE CENTER #12,100 FAIRGROUNDS RD,LEWISTOWN,59457,Contact County,,
Fergus,PREC 13,PREC_13,650,29,15,TRADE CENTER #13,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 14,PREC_14,396,30,15,MOORE FIRE HALL #14,302 FERGUS AVE,MOORE,59464,7:00 am - 8:00 pm,,
Fergus,PREC 16,PREC_16,277,29,15,WINIFRED COMMUNITY CENTER #16,200 MAIN ST,WINIFRED,59489,7:00 am - 8:00 pm,,
Fergus,PREC 17,PREC_17,518,29,15,TRADE CENTER #17,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 18,PREC_18,239,29,15,ROY SCHOOL #18,500 DAVIS ST,ROY,59471,* Noon - 8:00 pm,,
Fergus,PREC 2,PREC_2,1060,29,15,TRADE CENTER #02,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 3,PREC_3,487,30,15,TRADE CENTER #03,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 4,PREC_4,406,30,15,DENTON TOWN HALL #4,515 BROADWAY ST,DENTON,59430,7:00 am - 8:00 pm,,
Fergus,PREC 5,PREC_5,410,29,15,GRASS RANGE SCHOOL #5,310 E 2ND ST,GRASS RANGE,59032,7:00 am - 8:00 pm,,
Fergus,PREC 6,PREC_6,513,29,15,TRADE CENTER #06,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 7,PREC_7,442,29,15,TRADE CENTER #07,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 8,PREC_8,420,29,15,TRADE CENTER #08,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 9,PREC_9,447,29,15,TRADE CENTER #09,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Flathead,PRECINCT 1,PREC 01,885,7,4,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,Fairgrounds-Country Kitchen Building,265 N. Meridian Rd.
