name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Roswell Library,"115 Norcross Street, Roswell, GA 30075",,07:00 AM - 07:00 PM,,ho23850905,false,true,,,,poll51646372
Alpharetta Library,"10 Park Plaza, Alpharetta, GA 30009",,07:00 AM - 07:00 PM,,ho69229881,false,true,,,,poll16440729
Sandy Springs Library,"395 Mount Vernon Hwy NE, Sandy Springs, GA 30328",,07:00 AM - 07:00 PM,,ho34093996,false,true,,,,poll62618160
Buckhead Library,"269 Buckhead Ave. NE, Atlanta, GA 30305",,07:00 AM - 07:00 PM,,ho18447584,false,true,,,,poll78232415
Northside Library,"3295 Northside Parkway NW, Atlanta, GA 30327",,07:00 AM - 07:00 PM,,ho3481349,false,true,,,,poll19386855
Northwest Branch at Scotts Crossing Library,"2489 Perry Boulevard NW, Atlanta, GA 30331",,07:00 AM - 07:00 PM,,ho53187482,false,true,,,,poll23720410
Adamsville Collier Heights Library,"3424 Martin Luther King Jr. Dr., Atlanta, GA 30331",,07:00 AM - 07:00 PM,,ho97507632,false,true,,,,poll15824149
Welcome All Recreation Center,"4255 Will Lee Rd, College Park, GA 30349",,07:00 AM - 07:00 PM,,ho29762954,false,true,,,,poll8714712
H.J.C. Bowden Senior Center,"2885 Church Street, East Point, GA 30344",,08:30 AM - 04:00 PM,,ho42742932,false,true,,,,poll38414720
Dorothy C. Benson Senior Center,"6500 Venon Woods Dr. NE, Sandy Springs, GA 30328",,08:30 AM - 04:00 PM,,ho1597971,false,true,,,,poll3014831
Helene S. Mills Senior Center,"515 John Wesley Dobbs Ave NE, Atlanta, GA 30312",,07:00 AM - 07:00 PM,,ho27595760,false,true,,,,poll4972787
Quality Living Services Senior Facility,"4001 Danforth Rd SW, Atlanta, GA 30331",,08:30 AM - 04:00 PM,,ho75910111,false,true,,,,poll19281169
Crabapple Neighborhood Senior Center,"12624 Boadwell Rd, Alpharetta, GA 30004",,08:30 AM - 04:00 PM,,ho95607755,false,true,,,,poll1346257
Roswell Neighborhood Senior Center,"1250 Warsaw Rd, Roswell, GA 30076",,08:30 AM - 04:00 PM,,ho14986470,false,true,,,,poll47196948
New Horizon Neighborhood Senior Center,"745 Orr Street NW, Atlanta, GA 30314",,08:30 AM - 04:00 PM,,ho70838634,false,true,,,,poll21118114
Harriet G. Darnell Senior Center,"677 Fairburn Road NW, Atlanta, GA 30331",,08:30 AM - 04:00 PM,,ho94641790,false,true,,,,poll46933267
Palmetto Neighborhood Senior Center,"510 Turner Ave, Palmetto, GA 30268",,08:30 AM - 04:00 PM,,ho70574352,false,true,,,,poll73356199
East Point Library,"2757 Main Street, East Point, GA 30344",,07:00 AM - 07:00 PM,,ho13823941,false,true,,,,poll3477384
Southeast Atlanta Library,"1463 Pryor Road, Atlanta, GA 30315",,07:00 AM - 07:00 PM,,ho46813588,false,true,,,,poll23928838
Fairburn Library,"60 Valley View Drive, Fairburn, GA 30213",,07:00 AM - 07:00 PM,,ho23498135,false,true,,,,poll81330995
Southwest Arts Center,"915 New Hope Rd SW, Atlanta, GA 30331",,07:00 AM - 07:00 PM,,ho23633522,false,true,,,,poll35497426
Wolf Creek Library,"3100 Enon Road, Atlanta, GA 30331",,07:00 AM - 07:00 PM,,ho57206350,false,true,,,,poll16148063
Georgia Institute of Technology,"177 North Ave. NW, Atlanta, GA 30332",,08:30 AM - 04:00 PM,,ho57248406,false,true,,,,poll72626904
Georgia State University,"30 Courtland Street, Atlanta, GA 30303",,08:30 AM - 04:00 PM,,ho78651645,false,true,,,,poll46530911
Atlanta Metropolitan State College,"1630 Metropolitan Parkway SW, Atlanta, GA 30310",,08:30 AM - 04:00 PM,,ho27297264,false,true,,,,poll74776131
Registrar's Office,"1 Broad St, Ellijay, GA 30540",Ste 107,08:30 AM - 05:00 PM,,ho58667737,false,true,,,,poll76324621
Registrars Office,"676 West Main Street, Gibson, GA 30810",,08:00 AM - 05:00 PM,,ho76500160,false,true,,,,poll4352185
Registrars Office,"250 North Board Street, Cairo, GA 39828",,08:00 AM - 05:00 PM,,ho41241938,false,true,,,,poll20412609
Greene County Annex,"1180 C. Weldon Smith Drive, Greensboro, GA 30642",,08:00 AM - 05:00 PM,,ho52866754,false,true,,,,poll45201751
Voter Registration and Elections Main Office,"455 Grayson Highway, Lawrenceville, GA 30046",Suite 200,08:00 AM - 05:00 PM,,ho23900303,false,true,,,,poll30461785
Dacula Activity Building,"2735 Old Auburn Avenue, Dacula, GA 30019",,07:00 AM - 07:00 PM,,ho59480893,false,true,,,,poll85982932
George Pierce Park Community Recreation Center,"55 Buford Highway, Suwanee, GA 30024",,07:00 AM - 07:00 PM,,ho13743417,false,true,,,,poll56638738
Lucky Shoals Park Community Recreation Center,"4651 Britt Road, Norcross, GA 30039",,07:00 AM - 07:00 PM,,ho88891002,false,true,,,,poll98697426
Bogan Park Community Recreation Center,"2723 North Bogan Road, Buford, GA 30518",,07:00 AM - 07:00 PM,,ho447733,false,true,,,,poll68858828
Lenora Park Activity Room,"4515 Lenora Church Road, Snellville, GA 30078",,07:00 AM - 07:00 PM,,ho23004065,false,true,,,,poll29520276
Mountain Park Activity Building,"1063 Rockbridge Road, Stone Mountain, GA 30087",,07:00 AM - 07:00 PM,,ho12369615,false,true,,,,poll34086253
Shorty Howell Park Activity Building,"2750 Pleasant Hill Road, Duluth, GA 30096",,07:00 AM - 07:00 PM,,ho4785075,false,true,,,,poll1778812
Ruby Fulbright Aquatic Center,"120 Paul Franklin Road, Clarkesville, GA 30523",,08:00 AM - 07:00 PM,,ho90591132,false,true,,,,poll33467878
Office of Elections & Registration,"555 Monroe Street, Clarkesville, GA 30523",,08:00 AM - 05:00 PM,,ho28090821,false,true,,,,poll6904393
First Baptist Church of Cornelia,"325 Oak Street, Cornelia, GA 30531",,08:00 AM - 07:00 PM,,ho32829300,false,true,,,,poll56552370
Hall County Government Center,"2875 Browns Bridge Road, Gainesville, GA 30501",,08:00 AM - 05:00 PM,,ho40828595,false,true,,,,poll22952178
North Hall Community Center,"4175 Nopone Road, Gainesville, GA 30506",,09:00 AM - 04:00 PM,,ho3664104,false,true,,,,poll3030848
Spout Springs Library,"6488 Spout Springs Road, Flowery Branch, GA 30542",,09:00 AM - 04:00 PM,,ho72594738,false,true,,,,poll30867045
East Hall Community Center,"3911 P Davison Road, Gainesville, GA 30507",,09:00 AM - 04:00 PM,,ho13466311,false,true,,,,poll52793448
Courthouse,"4485 Highway 120, Buchanan, GA 30113",,09:00 AM - 05:00 PM,,ho77717655,false,true,,,,poll87611000
Courthouse Annex,"104 North College Street, Hamilton, GA 31811",,08:00 AM - 05:00 PM,,ho63041536,false,true,,,,poll81300959
Heard County Courthouse,"215 East Court Square, Franklin, GA 30217",Room #14,08:30 AM - 05:00 PM,,ho10008778,false,true,,,,poll65210733
Elections and Registration,"40 Atlanta St, McDonough, GA 30253",,08:00 AM - 05:00 PM,,ho74101065,false,true,,,,poll77161415
Fortson Library,"61 McDonough St, Hampton, GA 30228",,07:00 AM - 07:00 PM,,ho56603058,false,true,,,,poll37142935
Locust Grove Library,"115 MLK Jr. Blvd, Locust Grove, GA 30248",,07:00 AM - 07:00 PM,,ho9071561,false,true,,,,poll78872136
Fairview Library,"28 Austin Rd, Stockbridge, GA 30281",,07:00 AM - 07:00 PM,,ho59881311,false,true,,,,poll44103572
Merle Manders Conference Center,"111 Davis Rd, Stockbridge, GA 30281",,07:00 AM - 07:00 PM,,ho13273049,false,true,,,,poll85017476
Board of Elections,"801 Main Street, Perry, GA 31069",,08:00 AM - 05:00 PM,,ho7849629,false,true,,,,poll60032512
Central Georgia Technical College,"71 Cohen Walker Dr., Warner Robins, GA 31088",,08:00 AM - 05:00 PM,,ho14711373,false,true,,,,poll83448343
Houston Health Pavilion Conference Center,"233 N. Houston Rd, Warner Robins, GA 31093",,08:00 AM - 05:00 PM,,ho32752430,false,true,,,,poll17770398
Irwin County Annex,"207 South Irwin Ave, Ocilla, GA 31774",,08:00 AM - 04:45 PM,,ho81540724,false,true,,,,poll41622970
Registrar's Office,"126 West Greene St, Monticello, GA 31064",,08:30 AM - 04:30 PM,,ho7601041,false,true,,,,poll49881045
Elections Office,"415 Green Street, Louisville, GA 30434",,08:00 AM - 05:00 PM,,ho16369817,false,true,,,,poll83438537
Government Center,"166 Industrial Boulevard, Gray, GA 31032",Suite 102,08:30 AM - 05:00 PM,,ho1200286,false,true,,,,poll36243044
Registrar's Office,"408 Thomaston Street, Barnesville, GA 30204",,08:00 AM - 12:30 PM,,ho91675197,false,true,,,,poll66110516
Courthouse Annex Building,"117 East Jackson Street, Dublin, GA 31021",Suite A,08:30 AM - 05:00 PM,,ho47436336,false,true,,,,poll19108732
Board of Elections and Registration Office,"100 Starksville Ave. North, Leesburg, GA 31763",Suite C,08:00 AM - 05:00 PM,,ho37018157,false,true,,,,poll9660606
The Lincoln Center,"160 May Avenue, Lincolnton, GA 30817",,08:00 AM - 05:00 PM,,ho76776943,false,true,,,,poll32186081
,"2808 N. Oak Street, Valdosta, GA 31602",,06:00 AM - 09:00 PM,,ho421697,false,true,,,,poll15438315
Lumpkin County Elections Office,"56 Short Street, Dahlonega, GA 30533",,08:00 AM - 05:00 PM,,ho34898895,false,true,,,,poll93470420
Board of Elections' Office,"91 Albany Avenue, Danielsville, GA 30633",,08:00 AM - 05:00 PM,,ho33830940,false,true,,,,poll61901973
Old Dearing School,"4683 AUGUSTA HWY, DEARING, GA 30808",,09:00 AM - 04:30 PM,,ho66844443,false,true,,,,poll11393929
Precinct On Main,"511 Main St, Thomson, GA 30824",,09:00 AM - 04:30 PM,,ho51614010,false,true,,,,poll14491225
,"103 Jefferson Street, Darien, GA 31305",,08:00 AM - 05:00 PM,,ho59542576,false,true,,,,poll42078748
,"137 S. Court Square, Greenville, GA 30222",,08:30 AM - 05:00 PM,,ho88063226,false,true,,,,poll60068656
Board of Registration,"38 West Main Street, Fosyth, GA 31029",,08:30 AM - 04:30 PM,,ho68957446,false,true,,,,poll51516038
Courthouse,"400 S. Railroad Ave, Mount Vernon, GA 30445",,08:30 AM - 05:00 PM,,ho18865607,false,true,,,,poll63137385
,"434 Hancock Street, Madison, GA 30650",,08:30 AM - 04:30 PM,,ho96008547,false,true,,,,poll47268952
Courthouse Annex,"121 N 4th Ave, Chatsworth, GA 30705",,08:30 AM - 04:30 PM,,ho24188501,false,true,,,,poll4192298
City Services Center,"3111 Citizens Way, Columbus, GA 31906",,07:00 AM - 07:00 PM,,ho86474753,false,true,,,,poll19560848
