ocd_division,county,location_name,address_1,address_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,9/30/16,9/30/16,False,False,False,520,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/3/16,10/3/16,False,False,False,521,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,10/4/16,10/4/16,False,False,False,522,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/5/16,10/5/16,False,False,False,523,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,10/6/16,10/6/16,False,False,False,524,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/7/16,10/7/16,False,False,False,525,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/10/16,10/10/16,False,False,False,526,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,10/11/16,10/11/16,False,False,False,527,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/12/16,10/12/16,False,False,False,528,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,10/13/16,10/13/16,False,False,False,529,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/14/16,10/14/16,False,False,False,530,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/17/16,10/17/16,False,False,False,531,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
