CTY,Ocd-id,Municipality,W/P,Voting Place,Voting Address,start_time,end_time,start_date,end_date
OXF,ocd-division/country:us/state:me/place:buckfield,BUCKFIELD,1-1,Buckfield Municipal Center ,34 Turner Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:bucksport,BUCKSPORT,1-1,G. H. Jewett School Gymnasium,66 Bridge Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:burlington,BURLINGTON,1-1,Burlington Municipal Building ,1523 Long Ridge Road ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:burnham,BURNHAM,1-1,Reynolds Corner Municipal Building,247 South Horseback Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:buxton,BUXTON,1-1,Buxton Municipal Complex/Town Hall ,185 Portland Road ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:byron,BYRON,1-1,Byron Town Hall ,1 Byron Village Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:calais,CALAIS,1-1,Calais Elementary School,53 Garfield Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:cambridge,CAMBRIDGE,1-1,Cambridge Municipal Building ,202 Ripley Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:camden,CAMDEN,1-1,Camden Public Safety Building ,31 Washington Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:canaan,CANAAN,1-1,Canaan Calvary Church,299 Main Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:canton,CANTON,1-1,Canton Town Office,94 Turner Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:cape_elizabeth,CAPE ELIZABETH,1-1,Cape Elizabeth High School Gymnasium,Ocean House Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:caratunk,CARATUNK,1-1,Caratunk Town Office ,11 School Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:caribou,CARIBOU,1-1,Caribou Wellness & Recreation Center ,55 Bennett Drive ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:carmel,CARMEL ,1-1,Golden Harvest Grange Hall,928 Main Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:carrabassett_valley,CARRABASSETT VALLEY,1-1,Carrabassett Valley Town Office ,1001 Carriage Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:carroll_plt,CARROLL PLT ,1-1,Carroll Plantation Office ,644 Brown Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:carthage,CARTHAGE,1-1,Carthage Town Office ,703A Carthage Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:cary_plt,CARY PLT  ,1-1,Superintendant of Schools Building,175 Hodgdon Mills Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:casco,CASCO ,1-1,Casco Community Center,940 Meadow Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:castine,CASTINE,1-1,Emerson Hall ,67 Court Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:castle_hill,CASTLE HILL & T11 R4,1-1,Castle Hill Grange Hall ,1953 State Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:caswell,CASWELL,1-1,Dawn F. Barnes Elementary ,1025 Van Buren Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:chapman,CHAPMAN,1-1,Chapman Ridge Runners Snowmobile Club,94 Town Hall Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:charleston,CHARLESTON,1-1,Charleston Community Center ,125 School Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:charlotte,CHARLOTTE,1-1,Charlotte Town Hall,1092 Ayers Junction Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:chebeague_island,CHEBEAGUE ISLAND,1-1,Chebeague Island Hall & Community Center ,247 South Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:chelsea,CHELSEA,1-1,Chelsea Elementary School,566 Togus Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:cherryfield,CHERRYFIELD ,1-1,Cherryfield Town Office Meeting Room ,12 Municipal Way ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:chester,CHESTER,1-1,Marianne Municipal Building ,43 South Chester Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:chesterville,CHESTERVILLE,1-1,Chesterville Town Hall ,409 Dutch Gap Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:china,CHINA,1-1,China Town Office,571 Lakeview Drive,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:clifton,CLIFTON,1-1,Clifton Municipal Building,135 Airline Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
