CTY,Ocd-id,Municipality,W/P,Voting Place,Voting Address,start_time,end_time,start_date,end_date
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,2-5,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-10,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-11,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-12,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-13,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-14,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-15,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-16,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,2-17,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:princeton,PRINCETON (and Big Lake Twp),1-1,Princeton Town Office ,15 Depot Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:prospect,PROSPECT,1-1,Prospect Municipal Office ,958 Bangor Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:randolph,RANDOLPH,1-1,Randolph Town Office ,121 Kinderhook Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:rangeley,RANGELEY,1-1,Rangeley Town Office ,15 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:rangeley_plt,RANGELEY PLT,1-1,Rangeley Plt School House (Town Hall),293 South Shore Drive,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:raymond,RAYMOND,1-1,Jordan Small Middle School ,423 Webbs Mills Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:readfield,READFIELD,1-1,"Readfield Town Hall, 2nd Floor ",8 Old Kents Hill Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:reed_plt,REED PLT ,1-1,School House (Town Office Building),8 Springer Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:richmond,RICHMOND,1-1,Richmond Jr/Sr High School Gymnasium,132 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:ripley,RIPLEY,1-1,Courser Memorial School,47 West Ripley Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:robbinston,ROBBINSTON,1-1,Robbinston Fire Station ,886 US Route 1 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:rockland,ROCKLAND ,1-1,Rockland Community Building ,61 Limerock Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:rockport,ROCKPORT ,1-1,Rockport Town Office ,101 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:rockwood_strip_twp,ROCKWOOD STRIP TWP,1-1,Rockwood Community Center ,3638 Rockwood Road (to Education Lane),08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:rome,ROME,1-1,Rome Town Office/ Community Center ,8 Mercer Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:roque_bluffs,ROQUE BLUFFS,1-1,Roque Bluffs Town Hall ,3 Roque Bluffs Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:roxbury,ROXBURY ,1-1,Town Hall,1095 Roxbury Road,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:rumford,RUMFORD,1-1,American Legion Post 24 ,184 Congress Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:sabattus,SABATTUS,1-1,Sabattus Town Office ,190 Middle Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:saco,SACO,1-1,Saco Community Center ,75 Franklin Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:saco,SACO,2-1,Saco Community Center ,75 Franklin Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:saco,SACO,3-1,Saco Community Center ,75 Franklin Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:saco,SACO,4-1,Saco Community Center ,75 Franklin Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:saco,SACO,5-1,Saco Community Center ,75 Franklin Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:saco,SACO,6-1,Saco Community Center ,75 Franklin Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:saco,SACO,7-1,Saco Community Center ,75 Franklin Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:saint_agatha,SAINT AGATHA & Sinclair,1-1,Saint Agatha Town Office ,419 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:saint_albans,SAINT ALBANS,1-1,Saint Albans Town Hall ,7 Water Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:saint_francis,SAINT FRANCIS,1-1,Saint Francis Town Office ,873 Main Street,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:saint_george,SAINT GEORGE,1-1,"Tenant's Harbor Fire Station, Meeting Room",3 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:saint_john_plt,SAINT JOHN PLT,1-1,Saint John Plt Community Center ,1774 St. John Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:sandy_river_plt,SANDY RIVER PLT,1-1,Sandy River Plt Town Office,33 Townhall Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:sanford,SANFORD,1-1,Nasson Community Center,457 Main Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:sanford,SANFORD,2-1,St Ignatius Hall ,25 Riverside Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:sanford,SANFORD,3-1,Curtis Lake Christian Church ,38 Westview Drive ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:sangerville,SANGERVILLE ,1-1,Sangerville Town Hall Community Room,1 Town Hall Avenue,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:scarborough,SCARBOROUGH,1-1,Scarborough High School - Plummer's Gymnasium ,11 Municipal Drive,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:searsmont,SEARSMONT,1-1,Searsmont Community Center ,37 Main Street South ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:searsport,SEARSPORT,1-1,Searsport Public Safety Building ,3 Union Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:sebago,SEBAGO,1-1,Sebago Town Office ,406 Bridgton Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:sebec,SEBEC,1-1,Harland Ladd Municipal Building ,29 North Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:seboeis_plt,SEBOEIS PLT,1-1,Kenneth B. Brown Community Building ,1144 Seboeis Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:sedgwick,SEDGWICK ,1-1,Sedgwick Town House ,574 North Sedgwick Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:shapleigh,SHAPLEIGH,1-1,Shapleigh Town Hall ,22 Back Road ,07:30:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:sherman,SHERMAN (and Benedicta and Silver Ridge),1-1,Sherman Town Office ,36 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:shirley,SHIRLEY,1-1,Shirley Town Hall,25 West Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:sidney,SIDNEY,1-1,Sidney Town Office ,2986 Middle Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:sinclair,SINCLAIR (w/ St. Agatha),1-1,Saint Agatha Town Office ,419 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:skowhegan,SKOWHEGAN,1-1,Skowhegan Municipal Building,225 Water Street,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:smithfield,SMITHFIELD,1-1,Smithfield Municipal Building ,926 Village Road ,07:45:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:smyrna,SMYRNA,1-1,Smyrna Town Office ,3391 Route 2 ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:solon,SOLON,1-1,Solon Town Office ,121 South Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:somerville,SOMERVILLE,1-1,Somerville Town Office,72 Sand Hill Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:sorrento,SORRENTO,1-1,Sorrento Community Building ,81 Pomola Avenue,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:south_berwick,SOUTH BERWICK,1-1,"South Berwick Town Hall, 3rd Floor ",180 Main Street ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:south_bristol,SOUTH BRISTOL ,1-1,South Bristol School ,2024 State Route 129 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:south_portland,SOUTH PORTLAND,1-1,South Portland Boys & Girls Club ,169 Broadway ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:south_portland,SOUTH PORTLAND,2-1,American Legion Hall ,413 Broadway ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:south_portland,SOUTH PORTLAND,3-1,South Portland Community Center ,21 Nelson Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:south_portland,SOUTH PORTLAND,4-1,South Portland Community Center ,21 Nelson Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:south_portland,SOUTH PORTLAND,5-1,Redbank Community Center ,Macarthur Circle West,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:south_thomaston,SOUTH THOMASTON,1-1,South Thomaston Municipal Building ,125 Spruce Head Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:southport,SOUTHPORT,1-1,Southport Town Hall ,361 Hendricks Hill Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:southwest_harbor,SOUTHWEST HARBOR,1-1,Southwest Harbor Fire Station ,250 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:springfield,SPRINGFIELD,1-1,Springfield Town Office ,13 Park Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:stacyville,STACYVILLE,1-1,Stacyville Town Office,414 Station Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:standish,STANDISH,1-1,Standish Municipal Center ,175 Northeast Road ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:starks,STARKS,1-1,Starks Town Office ,57 Anson Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:stetson,STETSON,1-1,Stetson Meeting House,7 Wolfboro Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:steuben,STEUBEN,1-1,Steuben Town Office ,294 US Route 1 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:stockholm,STOCKHOLM /MADAWASKA LAKE TWP,1-1,Stockholm Community Center,62 School Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:stockton_springs,STOCKTON SPRINGS,1-1,Stockton Springs Town Office ,217 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:stoneham,STONEHAM,1-1,Stoneham Fire Station ,22 Butters Hill Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:stonington,STONINGTON ,1-1,"Stonington Town Hall, 2nd Floor Meeting Room",32 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:stow,STOW,1-1,Stow Municipal Office ,710 Stow Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:strong,STRONG,1-1,Forster Memorial Building ,14 South Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:sullivan,SULLIVAN,1-1,Sullivan Town Office ,1888 US Highway 1 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:sumner,SUMNER,1-1,Bisbee-Dyer Municipal Center (Town Office),633 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:surry,SURRY,1-1,Surry Town Office ,741 North Bend Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:swans_island,SWANS ISLAND,1-1,Swans Island Town Office ,125 Harbor Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:swanville,SWANVILLE,1-1,Swanville Town Office ,6 Town House Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:sweden,SWEDEN,1-1,Sweden Town Office,147 Bridgton Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:talmadge,TALMADGE ,1-1,Ladies Aid Building ,Old Mill Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:temple,TEMPLE,1-1,Temple Town Hall ,258 Temple Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:the_forks_plt,THE FORKS PLT,1-1,The Forks Town Hall ,2621 US Route 201,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:thomaston,THOMASTON,1-1,American Legion Hall ,10 Watts Lane ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:thorndike,THORNDIKE,1-1,Thorndike Town Office ,125 Mount View Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:topsfield,TOPSFIELD,1-1,Topsfield Municipal Building ,48 North Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:topsham,TOPSHAM ,1-1,Topsham Fairgrounds Exhibition Building ,54 Elm Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:tremont,TREMONT,1-1,Tremont Town Office-Harvey Kelley Meeting Room,20 Harbor Drive,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:trenton,TRENTON,1-1,Trenton Town Office ,59 Oak Point Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:troy,TROY,1-1,Troy Town Office ,129 Rogers Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:turner,TURNER,1-1,Turner Town Office ,11 Turner Center Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:union,UNION,1-1,William Pullen Municipal Building ,567 Common Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:unity,UNITY,1-1,Unity Community Center,32 School Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:upton,UPTON ,1-1,Ladies Aid Building ,23 Mill Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:van_buren,VAN BUREN ,1-1,Van Buren Community Center ,130 Champlain Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:vanceboro,VANCEBORO,1-1,Vanceboro Fire Station ,Shaw Street,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:vassalboro,VASSALBORO,1-1,Vassalboro Town Office ,682 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:veazie,VEAZIE,1-1,"Veazie Municipal Building, Council Chambers ",1084 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:verona_island,VERONA ISLAND,1-1,Verona Town Hall ,16 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:vienna,VIENNA ,1-1,Vienna Community Building ,34 Kimball Pond Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:vinalhaven,VINALHAVEN,1-1,Vinalhaven Town Office,19 Washington School Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:wade,WADE,1-1,Wade Town office-Washburn,6 Victoria Street,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:waite,WAITE,1-1,Ladies Aid Building ,10 Old Mill Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:waldo,WALDO,1-1,Waldo Town Office ,629 Waldo Station Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:waldoboro,WALDOBORO,1-1,Waldoboro Municipal Building,1600 Atlantic Highway ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:wales,WALES,1-1,Wales Municipal Center,175 Centre Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:wallagrass,WALLAGRASS,1-1,Wallagrass Elementary School,45 Church Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:waltham,WALTHAM ,1-1,Waltham Town Office,1520 Waltham Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:warren,WARREN,1-1,Masonic Hall,105 Camden Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:washburn,WASHBURN,1-1,Washburn Civic Center/Town Office ,1287 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:washington,WASHINGTON,1-1,Bryant Room - Gibbs Library,40 Old Union Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:waterboro,WATERBORO,1-1,Massabesic East School,84 West Road,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:waterford,WATERFORD,1-1,Waterford Municipal Building ,366 Valley Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:waterville,WATERVILLE,1-1,Bourque-Lanigan Post #5 American Legion ,21 College Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:waterville,WATERVILLE,2-1,Bourque-Lanigan Post #5 American Legion ,21 College Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:waterville,WATERVILLE,3-1,Bourque-Lanigan Post #5 American Legion ,21 College Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:waterville,WATERVILLE,4-1,Bourque-Lanigan Post #5 American Legion ,21 College Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:waterville,WATERVILLE,5-1,Bourque-Lanigan Post #5 American Legion ,21 College Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:waterville,WATERVILLE,6-1,Bourque-Lanigan Post #5 American Legion ,21 College Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:waterville,WATERVILLE,7-1,Bourque-Lanigan Post #5 American Legion ,21 College Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:wayne,WAYNE,1-1,Ladd Recreation Center ,26 Gott Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:webster_plt,WEBSTER PLT ,1-1,Webster Plt Town Office ,583 Tucker Ridge Road ,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:weld,WELD ,1-1,Multi-Purpose Room ,23 Mill Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:wellington,WELLINGTON,1-1,Wellington Town Office,13 Harmony Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:wells,WELLS,1-1,Wells Junior High School,1470 Post Road,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:wesley,WESLEY,1-1,Wesley Elementary School,13 Whining Pines Drive,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:west_bath,WEST BATH,1-1,West Bath Fire Hall ,192 State Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:west_forks_plt,WEST FORKS PLT,1-1,West Forks Town Hall ,2955 US Route 201 ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:west_gardiner,WEST GARDINER,1-1,West Gardiner Town Hall/Fire Department ,322 Spears Corner Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:west_paris,WEST PARIS,1-1,West Paris Town Office-Meeting Room ,25 Kingsbury Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:westbrook,WESTBROOK,1-1,Wescott Community Center,426 Bridge Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:westbrook,WESTBROOK,2-1,Westbrook Armory ,120 Stroudwater Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:westbrook,WESTBROOK,3-1,Westbrook Armory ,120 Stroudwater Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:westbrook,WESTBROOK,4-1,Wescott Community Center,426 Bridge Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:westbrook,WESTBROOK,5-1,Pride's Corner Congregational Church ,235 Pride Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
