office-name,ocd-division,directions,name,street,city,state,zip,start_time,end_time,start_date,end_date,notes,index,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Calhoun County,ocd-division/country:us/state:wv/county:calhoun,,Calhoun County Courthouse,363 Main Street,Grantsville,WV,26147,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,,24,"363 Main Street, Grantsville, WV 26147",09:00 AM-05:00 PM,,ho41252231,FALSE,TRUE,,,,poll62727510
Clay County,ocd-division/country:us/state:wv/county:clay,,Clay County Courthouse,246 Main Street,Clay,WV,25043,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,,25,"246 Main Street, Clay, WV 25043",08:00 AM-04:00 PM,,ho71392040,FALSE,TRUE,,,,poll23862889
Clay County,ocd-division/country:us/state:wv/county:clay,,Clay County Courthouse,246 Main Street,Clay,WV,25043,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,26,"246 Main Street, Clay, WV 25043",09:00 AM-05:00 PM,,ho71392040,FALSE,TRUE,,,,poll23862889
Clay County,ocd-division/country:us/state:wv/county:clay,,Clay County Courthouse,246 Main Street,Clay,WV,25043,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,,27,"246 Main Street, Clay, WV 25043",08:00 AM-04:00 PM,,ho71392040,FALSE,TRUE,,,,poll23862889
Clay County,ocd-division/country:us/state:wv/county:clay,,Clay County Courthouse,246 Main Street,Clay,WV,25043,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,,28,"246 Main Street, Clay, WV 25043",09:00 AM-05:00 PM,,ho71392040,FALSE,TRUE,,,,poll23862889
Doddridge County,ocd-division/country:us/state:wv/county:doddridge,,Doddridge County Courthouse,108 East Court St.,West Union,WV,26456,08:30:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,,29,"108 East Court St., West Union, WV 26456",08:30 AM-04:00 PM,,ho68296045,FALSE,TRUE,,,,poll40808337
Doddridge County,ocd-division/country:us/state:wv/county:doddridge,,Doddridge County Courthouse,108 East Court St.,West Union,WV,26456,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,30,"108 East Court St., West Union, WV 26456",09:00 AM-05:00 PM,,ho68296045,FALSE,TRUE,,,,poll40808337
Doddridge County,ocd-division/country:us/state:wv/county:doddridge,,Doddridge County Courthouse,108 East Court St.,West Union,WV,26456,08:30:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,,31,"108 East Court St., West Union, WV 26456",08:30 AM-04:00 PM,,ho68296045,FALSE,TRUE,,,,poll40808337
Doddridge County,ocd-division/country:us/state:wv/county:doddridge,,Doddridge County Courthouse,108 East Court St.,West Union,WV,26456,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,,32,"108 East Court St., West Union, WV 26456",09:00 AM-05:00 PM,,ho68296045,FALSE,TRUE,,,,poll40808337
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Soldiers & Sailors Memorial,200 W. Maple Avenue,Fayetteville,WV,25840,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,,33,"200 W. Maple Avenue, Fayetteville, WV 25840",08:00 AM-04:00 PM,,ho75802320,FALSE,TRUE,,,,poll60879839
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Soldiers & Sailors Memorial,200 W. Maple Avenue,Fayetteville,WV,25840,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,34,"200 W. Maple Avenue, Fayetteville, WV 25840",09:00 AM-05:00 PM,,ho75802320,FALSE,TRUE,,,,poll60879839
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Soldiers & Sailors Memorial,200 W. Maple Avenue,Fayetteville,WV,25840,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,,35,"200 W. Maple Avenue, Fayetteville, WV 25840",08:00 AM-04:00 PM,,ho75802320,FALSE,TRUE,,,,poll60879839
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Soldiers & Sailors Memorial,200 W. Maple Avenue,Fayetteville,WV,25840,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,,36,"200 W. Maple Avenue, Fayetteville, WV 25840",09:00 AM-05:00 PM,,ho75802320,FALSE,TRUE,,,,poll60879839
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Montgomery City Hall,706 3rd Avenue,Montgomery,WV,25136,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,,37,"706 3rd Avenue, Montgomery, WV 25136",08:00 AM-04:00 PM,,ho52074120,FALSE,TRUE,,,,poll17783388
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Montgomery City Hall,706 3rd Avenue,Montgomery,WV,25136,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,38,"706 3rd Avenue, Montgomery, WV 25136",09:00 AM-05:00 PM,,ho52074120,FALSE,TRUE,,,,poll17783388
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Montgomery City Hall,706 3rd Avenue,Montgomery,WV,25136,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,,39,"706 3rd Avenue, Montgomery, WV 25136",08:00 AM-04:00 PM,,ho52074120,FALSE,TRUE,,,,poll17783388
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Montgomery City Hall,706 3rd Avenue,Montgomery,WV,25136,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,,40,"706 3rd Avenue, Montgomery, WV 25136",09:00 AM-05:00 PM,,ho52074120,FALSE,TRUE,,,,poll17783388
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Danese Community Building,1493 Stanaford Road,Danese,WV,25831,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,,41,"1493 Stanaford Road, Danese, WV 25831",08:00 AM-04:00 PM,,ho21405121,FALSE,TRUE,,,,poll68958242
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Danese Community Building,1493 Stanaford Road,Danese,WV,25831,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,42,"1493 Stanaford Road, Danese, WV 25831",09:00 AM-05:00 PM,,ho21405121,FALSE,TRUE,,,,poll68958242
