entry_name,county,loc_name,address_1,address_2,address_3,city,state,zip,dirs,services,start_time,end_time,start_date,end_date,days_times_open,state_id,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/25/16,10/25/2016 09:00 AM to 05:00 PM<br>10/26/2016 09:00 AM to 07:00 PM<br>10/27/2016 09:00 AM to 05:00 PM<br>10/28/2016 09:00 AM to 05:00 PM<br>10/31/2016 09:00 AM to 05:00 PM<br>11/01/2016 09:00 AM to 07:00 PM<br>11/02/2016 09:00 AM to 05:00 PM<br>11/03/2016 09:00 AM to 07:00 PM<br>11/04/2016 08:00 AM to 05:00 PM<br>,1.60E+11,34,Daggett County Courthouse,"95 N. 1st W., Manila, UT 84046",,09:00 AM-05:00 PM,,ho88585551,false,true,,,,poll26177246
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16,,,35,Daggett County Courthouse,"95 N. 1st W., Manila, UT 84046",,09:00 AM-07:00 PM,,ho88585551,false,true,,,,poll26177246
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,10/27/16,10/28/16,,,36,Daggett County Courthouse,"95 N. 1st W., Manila, UT 84046",,09:00 AM-05:00 PM,,ho88585551,false,true,,,,poll26177246
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,10/31/16,10/31/16,,,37,Daggett County Courthouse,"95 N. 1st W., Manila, UT 84046",,09:00 AM-05:00 PM,,ho88585551,false,true,,,,poll26177246
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/1/16,,,38,Daggett County Courthouse,"95 N. 1st W., Manila, UT 84046",,09:00 AM-07:00 PM,,ho88585551,false,true,,,,poll26177246
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,11/2/16,11/2/16,,,39,Daggett County Courthouse,"95 N. 1st W., Manila, UT 84046",,09:00 AM-05:00 PM,,ho88585551,false,true,,,,poll26177246
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,19:00:00 - 07:00,11/3/16,11/3/16,,,40,Daggett County Courthouse,"95 N. 1st W., Manila, UT 84046",,09:00 AM-07:00 PM,,ho88585551,false,true,,,,poll26177246
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,,41,Daggett County Courthouse,"95 N. 1st W., Manila, UT 84046",,09:00 AM-05:00 PM,,ho88585551,false,true,,,,poll26177246
Tooele Senior Citizens Center,Tooele,Tooele Senior Citizens Center,59 E. Vine St.,,,Tooele,UT,84074,,,09:00:00 - 07:00,12:00:00 - 07:00,11/2/16,11/2/16,11/02/2016 09:00 AM to 12:00 PM<br>,1.60E+11,42,Tooele Senior Citizens Center,"59 E. Vine St., Tooele, UT 84074",,09:00 AM-12:00 PM,,ho43529650,false,true,,,,poll30506997
Grantsville Senior Citizens Center,Tooele,Grantsville Senior Citizens Center,120 So. Center,,,Grantsville,UT,84029,,,09:30:00 - 07:00,11:30:00 - 07:00,10/26/16,10/26/16,10/26/2016 09:30 AM to 11:30 AM<br>,1.60E+11,43,Grantsville Senior Citizens Center,"120 So. Center, Grantsville, UT 84029",,09:30 AM-11:30 AM,,ho95921169,false,true,,,,poll22911734
