name,adr_location_name,adr_1,adr_2,adr_3,city,state,zip,dirs,services,start_date,end_date,start_time,end_time,ev_id,locality_id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
EVANGELINE,EVANGELINE PARISH COURTHOUSE,"200 COURT ST, STE 102",,,VILLE PLATTE,LA,70586,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6023,2018,46,"200 Court St, Ste 102, Ville Platte, LA 70586",,08:30 AM-06:00 PM,,ho52476618,FALSE,TRUE,,,,poll52476618
FRANKLIN,,6560 MAIN ST,,,WINNSBORO,LA,71295,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6024,2018,47,"6560 Main St, Winnsboro, LA 71295",,08:30 AM-06:00 PM,,ho62367676,FALSE,TRUE,,,,poll62367676
FRANKLIN,,6560 MAIN ST,,,WINNSBORO,LA,71295,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6024,2018,48,"6560 Main St, Winnsboro, LA 71295",,08:30 AM-06:00 PM,,ho62367676,FALSE,TRUE,,,,poll62367676
GRANT,Courthouse,200 MAIN ST,,,COLFAX,LA,71417,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6025,2018,52,"200 Main St, Colfax, LA 71417",,08:30 AM-06:00 PM,,ho16703195,FALSE,TRUE,,,,poll16703195
GRANT,Courthouse,200 MAIN ST,,,COLFAX,LA,71417,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6025,2018,53,"200 Main St, Colfax, LA 71417",,08:30 AM-06:00 PM,,ho16703195,FALSE,TRUE,,,,poll16703195
IBERIA,,300 S. IBERIA ST. STE 110,,,NEW IBERIA,LA,70560,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6026,2018,54,"300 S. Iberia St. Ste 110, New Iberia, LA 70560",,08:30 AM-06:00 PM,,ho99134679,FALSE,TRUE,,,,poll99134679
IBERIA,,300 S. IBERIA ST. STE 110,,,NEW IBERIA,LA,70560,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6026,2018,55,"300 S. Iberia St. Ste 110, New Iberia, LA 70560",,08:30 AM-06:00 PM,,ho99134679,FALSE,TRUE,,,,poll99134679
IBERVILLE,IBERVILLE PARISH COURTHOUSE,58050 MERIAM ST.,,,PLAQUEMINE,LA,70764,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6027,2018,56,"58050 Meriam St., Plaquemine, LA 70764",,08:30 AM-06:00 PM,,ho88965824,FALSE,TRUE,,,,poll88965824
IBERVILLE,IBERVILLE PARISH COURTHOUSE,58050 MERIAM ST.,,,PLAQUEMINE,LA,70764,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6027,2018,57,"58050 Meriam St., Plaquemine, LA 70764",,08:30 AM-06:00 PM,,ho88965824,FALSE,TRUE,,,,poll88965824
JACKSON,JACKSON PARISH COURTHOUSE,"500 E. COURT ST., ROOM 102",,,JONESBORO,LA,71251,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6028,2026,58,"500 E. Court St., Room 102, Jonesboro, LA 71251",,08:30 AM-06:00 PM,,ho39661559,FALSE,TRUE,,,,poll39661559
JACKSON,JACKSON PARISH COURTHOUSE,"500 E. COURT ST., ROOM 102",,,JONESBORO,LA,71251,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6028,2026,59,"500 E. Court St., Room 102, Jonesboro, LA 71251",,08:30 AM-06:00 PM,,ho39661559,FALSE,TRUE,,,,poll39661559
JEFFERSON,JOSEPH YENNI PARISH BUILDING,"1221 ELMWOOD PARK BLVD., RM 502",,,HARAHAN,LA,70123,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6029,2027,60,"1221 Elmwood Park Blvd., Rm 502, Harahan, LA 70123",,08:30 AM-06:00 PM,,ho71360306,FALSE,TRUE,,,,poll71360306
JEFFERSON,JOSEPH YENNI PARISH BUILDING,"1221 ELMWOOD PARK BLVD., RM 502",,,HARAHAN,LA,70123,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6029,2027,61,"1221 Elmwood Park Blvd., Rm 502, Harahan, LA 70123",,08:30 AM-06:00 PM,,ho71360306,FALSE,TRUE,,,,poll71360306
JEFFERSON,CHARLES ODOM BUILDING,5001 WEST BANK EXPRESSWAY,,,MARRERO,LA,70072,Suite C-2,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6030,2027,62,"5001 West Bank Expressway, Marrero, LA 70072",Suite C-2,08:30 AM-06:00 PM,,ho70492503,FALSE,TRUE,,,,poll70492503
JEFFERSON,CHARLES ODOM BUILDING,5001 WEST BANK EXPRESSWAY,,,MARRERO,LA,70072,Suite C-2,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6030,2027,63,"5001 West Bank Expressway, Marrero, LA 70072",Suite C-2,08:30 AM-06:00 PM,,ho70492503,FALSE,TRUE,,,,poll70492503
JEFFERSON DAVIS,,302 N CUTTING AVE,,,JENNINGS,LA,70546,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6031,2027,64,"302 N Cutting Ave, Jennings, LA 70546",,08:30 AM-06:00 PM,,ho56857384,FALSE,TRUE,,,,poll56857384
