ocd-division,homepage-url,County,Location Name,Address 1,Address 2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change
ocd-division/country:us/state:oh/county:fulton,http://www.fultoncountyoh.com/boardofelections,Fulton County,Courthouse,135 Courthouse Plaza,,Wauseon,OH,43567,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fulton,http://www.fultoncountyoh.com/boardofelections,Fulton County,Courthouse,135 Courthouse Plaza,,Wauseon,OH,43567,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fulton,http://www.fultoncountyoh.com/boardofelections,Fulton County,Courthouse,135 Courthouse Plaza,,Wauseon,OH,43567,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:gallia,http://gallianet.net/index.php/gallia-county/board-of-elections/general-information,Gallia County,Courthouse,"Courthouse, 18 Locust St.",Room 1266,Gallipolis,OH,45631,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:gallia,http://gallianet.net/index.php/gallia-county/board-of-elections/general-information,Gallia County,Courthouse,"Courthouse, 18 Locust St.",Room 1266,Gallipolis,OH,45631,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:gallia,http://gallianet.net/index.php/gallia-county/board-of-elections/general-information,Gallia County,Courthouse,"Courthouse, 18 Locust St.",Room 1266,Gallipolis,OH,45631,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:gallia,http://gallianet.net/index.php/gallia-county/board-of-elections/general-information,Gallia County,Courthouse,"Courthouse, 18 Locust St.",Room 1266,Gallipolis,OH,45631,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:gallia,http://gallianet.net/index.php/gallia-county/board-of-elections/general-information,Gallia County,Courthouse,"Courthouse, 18 Locust St.",Room 1266,Gallipolis,OH,45631,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:gallia,http://gallianet.net/index.php/gallia-county/board-of-elections/general-information,Gallia County,Courthouse,"Courthouse, 18 Locust St.",Room 1266,Gallipolis,OH,45631,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:gallia,http://gallianet.net/index.php/gallia-county/board-of-elections/general-information,Gallia County,Courthouse,"Courthouse, 18 Locust St.",Room 1266,Gallipolis,OH,45631,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:gallia,http://gallianet.net/index.php/gallia-county/board-of-elections/general-information,Gallia County,Courthouse,"Courthouse, 18 Locust St.",Room 1266,Gallipolis,OH,45631,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:gallia,http://gallianet.net/index.php/gallia-county/board-of-elections/general-information,Gallia County,Courthouse,"Courthouse, 18 Locust St.",Room 1266,Gallipolis,OH,45631,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:geauga,http://www.co.geauga.oh.us/Departments/BOE/main.aspx,Geauga County,County Administration Building,470 Center St.,Building 6A,Chardon,OH,44024,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
